category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - Kubernetes v2,"Which Kubernetes concept best matches this description: the smallest deployable compute object, commonly wrapping one or more containers that share networking and storage context.",kube-apiserver,Pod,Job,Namespace,B,easy,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a workload resource that manages ReplicaSets and supports declarative updates for stateless applications.,Deployment,Annotation,PersistentVolume,LoadBalancer,A,easy,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a controller that maintains a stable set of replica Pods matching a selector.,kubelet,kube-controller-manager,ReplicaSet,Annotation,C,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a workload controller for Pods that need stable identities and stable persistent storage.,Secret,StatefulSet,Helm release,Startup probe,B,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a workload controller that ensures a copy of a Pod runs on selected nodes.,kube-controller-manager,DaemonSet,Prometheus rule,Finalizer,B,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a workload resource for running Pods until a finite task completes successfully.,kube-scheduler,Owner reference,Job,HorizontalPodAutoscaler,C,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a Kubernetes workload that creates Jobs on a repeating schedule.,CronJob,HorizontalPodAutoscaler,Helm release,NetworkPolicy,A,medium,false,
Computer - Kubernetes v2,"Which Kubernetes concept best matches this description: a stable network abstraction for reaching a set of Pods, usually selected by labels.",Service,DaemonSet,Secret,Selector,A,easy,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: the default Service type that exposes the Service only inside the cluster network.,Label,ReplicaSet,Service,ClusterIP,D,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a Service type that exposes a port on each node and routes to the Service.,NodePort,Namespace,Label,Terraform workspace,A,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a Service type that asks the infrastructure provider for an external load balancer.,CustomResourceDefinition,Liveness probe,LoadBalancer,Helm release,C,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: an API object for HTTP and HTTPS routing from outside the cluster to Services.,Ingress,Dockerfile,Owner reference,Job,A,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: an API object for storing non-confidential configuration data as key-value pairs.,StorageClass,ClusterRole,ConfigMap,Job,C,easy,false,
Computer - Kubernetes v2,"Which Kubernetes concept best matches this description: an API object intended for sensitive data such as passwords, tokens, or keys.",ClusterRole,Liveness probe,Secret,CronJob,C,easy,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a cluster storage resource provisioned by an administrator or dynamically by a StorageClass.,Startup probe,Liveness probe,PersistentVolume,OpenAPI schema,C,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a user request for persistent storage with a specified access mode and size.,Toleration,PersistentVolumeClaim,kube-scheduler,Prometheus rule,B,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a storage policy object used for dynamic provisioning of PersistentVolumes.,DaemonSet,Prometheus rule,StorageClass,Taint,C,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a way to divide cluster resources among multiple logical groups.,Namespace,ReplicaSet,Helm release,Startup probe,A,easy,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a key-value pair attached to objects for organization and selection.,NetworkPolicy,LoadBalancer,Taint,Label,D,easy,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a query mechanism used by controllers and Services to identify matching objects.,OpenAPI schema,DaemonSet,Selector,NodePort,C,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: a key-value metadata field often used for non-identifying information consumed by tools.,Startup probe,kubelet,Annotation,RBAC Role,C,medium,false,
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: the control plane component that exposes the Kubernetes HTTP API.,RoleBinding,RBAC Role,kube-apiserver,Job,C,medium,false,https://kubernetes.io/images/docs/components-of-kubernetes.svg
Computer - Kubernetes v2,Which Kubernetes concept best matches this description: the consistent highly available key-value store for Kubernetes API server data.,HorizontalPodAutoscaler,Taint,kube-proxy,etcd,D,medium,false,https://kubernetes.io/images/docs/components-of-kubernetes.svg
