category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with File Transfer Protocol (FTP) in the CompTIA Network+ N10-009 objectives?,587,443,20/21,465,C,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 20/21 for file transfer using separate data and control channels?,File Transfer Protocol (FTP),Secure File Transfer Protocol (SFTP),Post Office Protocol v3 (POP3),Remote Desktop Protocol (RDP),A,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Secure File Transfer Protocol (SFTP) in the CompTIA Network+ N10-009 objectives?,123,995,110,22,D,easy,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 22 for file transfer over SSH?,Server Message Block (SMB),Internet Message Access Protocol (IMAP),Secure File Transfer Protocol (SFTP),Post Office Protocol v3 (POP3),C,easy,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Secure Shell (SSH) in the CompTIA Network+ N10-009 objectives?,514,636,22,1813,C,easy,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 22 for encrypted remote command-line access?,Domain Name System (DNS),Secure Shell (SSH),Secure File Transfer Protocol (SFTP),Lightweight Directory Access Protocol over SSL (LDAPS),B,easy,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Telnet in the CompTIA Network+ N10-009 objectives?,23,636,1812,443,A,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 23 for unencrypted remote terminal access?,Telnet,Server Message Block (SMB),Post Office Protocol v3 (POP3),Trivial File Transfer Protocol (TFTP),A,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Simple Mail Transfer Protocol (SMTP) in the CompTIA Network+ N10-009 objectives?,1433,25,514,110,B,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 25 for sending mail between mail servers?,Simple Mail Transfer Protocol (SMTP),Dynamic Host Configuration Protocol (DHCP),Hypertext Transfer Protocol Secure (HTTPS),Telnet,A,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Domain Name System (DNS) in the CompTIA Network+ N10-009 objectives?,53,110,995,25,A,easy,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 53 for hostname-to-address resolution?,Remote Authentication Dial-In User Service (RADIUS),Domain Name System (DNS),Syslog,Hypertext Transfer Protocol Secure (HTTPS),B,easy,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Dynamic Host Configuration Protocol (DHCP) in the CompTIA Network+ N10-009 objectives?,67/68,389,25,1812,A,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 67/68 for automatic client IP configuration?,Dynamic Host Configuration Protocol (DHCP),Lightweight Directory Access Protocol (LDAP),Simple Network Management Protocol (SNMP),Simple Mail Transfer Protocol (SMTP),A,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Trivial File Transfer Protocol (TFTP) in the CompTIA Network+ N10-009 objectives?,443,1433,69,22,C,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 69 for simple file transfer without authentication?,Post Office Protocol v3 (POP3),Network Time Protocol (NTP),Lightweight Directory Access Protocol (LDAP),Trivial File Transfer Protocol (TFTP),D,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Hypertext Transfer Protocol (HTTP) in the CompTIA Network+ N10-009 objectives?,143,80,5060/5061,69,B,easy,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 80 for unencrypted web traffic?,Lightweight Directory Access Protocol over SSL (LDAPS),Telnet,Hypertext Transfer Protocol Secure (HTTPS),Hypertext Transfer Protocol (HTTP),D,easy,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Network Time Protocol (NTP) in the CompTIA Network+ N10-009 objectives?,80,123,1812,514,B,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 123 for time synchronization?,Simple Mail Transfer Protocol (SMTP),Post Office Protocol v3 (POP3),Trivial File Transfer Protocol (TFTP),Network Time Protocol (NTP),D,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Simple Network Management Protocol (SNMP) in the CompTIA Network+ N10-009 objectives?,22,161/162,1813,80,B,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 161/162 for device monitoring and traps?,Hypertext Transfer Protocol Secure (HTTPS),Simple Network Management Protocol (SNMP),Simple Mail Transfer Protocol Secure (SMTPS),Syslog,B,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Lightweight Directory Access Protocol (LDAP) in the CompTIA Network+ N10-009 objectives?,1813,5060/5061,389,23,C,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 389 for directory service queries?,Lightweight Directory Access Protocol (LDAP),Internet Message Access Protocol (IMAP),Remote Authentication Dial-In User Service (RADIUS),Domain Name System (DNS),A,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Hypertext Transfer Protocol Secure (HTTPS) in the CompTIA Network+ N10-009 objectives?,1813,143,161/162,443,D,easy,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 443 for encrypted web traffic?,Trivial File Transfer Protocol (TFTP),Simple Network Management Protocol (SNMP),Hypertext Transfer Protocol Secure (HTTPS),Internet Message Access Protocol (IMAP),C,easy,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Server Message Block (SMB) in the CompTIA Network+ N10-009 objectives?,3389,514,22,445,D,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 445 for Windows file and printer sharing?,File Transfer Protocol (FTP),Remote Authentication Dial-In User Service (RADIUS),Server Message Block (SMB),Secure Shell (SSH),C,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Syslog in the CompTIA Network+ N10-009 objectives?,514,636,25,5060/5061,A,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 514 for centralized logging?,Syslog,Telnet,Lightweight Directory Access Protocol over SSL (LDAPS),Simple Mail Transfer Protocol (SMTP),A,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Simple Mail Transfer Protocol Secure (SMTPS) in the CompTIA Network+ N10-009 objectives?,443,22,587,445,C,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 587 for secure mail submission per N10-009 objectives?,Simple Mail Transfer Protocol Secure (SMTPS),Dynamic Host Configuration Protocol (DHCP),Internet Message Access Protocol (IMAP),Hypertext Transfer Protocol Secure (HTTPS),A,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Lightweight Directory Access Protocol over SSL (LDAPS) in the CompTIA Network+ N10-009 objectives?,22,53,636,465,C,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 636 for encrypted directory service queries?,Simple Mail Transfer Protocol Secure (SMTPS),Hypertext Transfer Protocol Secure (HTTPS),Lightweight Directory Access Protocol over SSL (LDAPS),Simple Network Management Protocol (SNMP),C,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Structured Query Language (SQL) Server in the CompTIA Network+ N10-009 objectives?,993,636,80,1433,D,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 1433 for Microsoft SQL Server database service?,Syslog,Dynamic Host Configuration Protocol (DHCP),Structured Query Language (SQL) Server,Simple Mail Transfer Protocol Secure (SMTPS),C,medium,false,
Computer - CompTIA Netwroking+,Which TCP/UDP port value is associated with Remote Desktop Protocol (RDP) in the CompTIA Network+ N10-009 objectives?,110,3389,23,465,B,medium,false,
Computer - CompTIA Netwroking+,Which protocol or service uses port 3389 for remote graphical desktop access?,Simple Mail Transfer Protocol Secure (SMTPS),Simple Mail Transfer Protocol (SMTP),Remote Desktop Protocol (RDP),Structured Query Language (SQL) Server,C,medium,false,
