category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Celebrities,One of Johnny Depps earliest film roles was as Gator Lerner in what 1986 movie?,The Color of Money,Platoon,Top Gun,Aliens,B,medium,false,
Celebrities,"Which of these Tim Burton films, starring Johnny Depp, came first?",Charlie and the Chocolate Factory,Ed Wood,Sleepy Hollow,Edward Scissorhands,D,medium,false,
Celebrities,"This Scottish author, portrayed by Johnny Depp in the movie Finding Neverland, created the fictional character Peter Pan.",John Dunne,George Eliot,Joseph Grimm,James Barrie,D,medium,false,
Celebrities,"In the 2001 movie Blow, Johny Depps role is based on the real life story of his character.",True,False,,,A,medium,false,
Celebrities,What is the first name of Johnny Depps character in the 2004 film Secret Window?,Tom,Alan,Lou,Mort,D,medium,false,
Celebrities,Johnny Depp played the role of Inspector Fred Abberline in what 2001 film?,From Hell,Nick of Time,Chocolat,The Astronauts Wife,A,medium,false,
Celebrities,"Johnny Depp publicly stated that he, in part, had based his portrayal of Captain Jack Sparrow in Pirates of the Caribbean: The Curse of the Black Pearl on which musician?",Jim Morrison,Ozzy Osbourne,Mick Jagger,Keith Richards,D,medium,false,
Celebrities,"In the 1993 movie Whats Eating Gilbert Grape, Gilbert Grape is the name of the character played by Johnny Depp.",False,True,,,B,medium,false,
Celebrities,When was Elvis born?,"January 8, 1935","January 8, 1977","August 16, 1935","August 8, 1977",A,medium,false,
Celebrities,Who were Elviss parents?,Billy and Joseph,Gladys and Vernon,Lisa Marie and Vernon,Priscilla and Dee,B,medium,false,
Celebrities,What is Elviss mansion called?,Neverland,Swampland,Kingstown,Graceland,D,medium,false,
Celebrities,What town was Elvis born in?,Branson,Memphis,Tupelo,Nashville,C,medium,false,
Celebrities,He played Nicholas Bradford on the ultra popular 70s sitcom Eight is Enough.,Adam Rich,Jason Bateman,Meeno Peluce,Danny Pintauro,A,medium,false,
Celebrities,Rapper turned actor Will Smith married this actress in 1997.,Brandy Norwood,Nia Long,Jada Pinkett,Shia LeBeouf,C,medium,false,
Celebrities,Former tennis great Steffi Graf married this former tennis great in 2001.,John McEnroe,Boris Becker,Andre Agassi,Jimmy Connors,C,medium,false,
Celebrities,"In 1997, Actor Matthew Broderick married this Sex and the City star.",Kristen Davis,Sarah Jessica Parker,Cynthia Nixon,Kim Catrall,B,medium,false,
Celebrities,What famous actor did Catherine Zeta Jones marry in 2000?,Kirk Douglas,Michael Douglas,Jeff Bridges,Lloyd Bridges,B,medium,false,
Celebrities,Actor James Brolin married this famous singer in 1998.,Aretha Franklin,Barbra Streisand,Bette Midler,Maria Muldaur,B,medium,false,
Celebrities,Singer Jennifer Lopez married this famous singer in 2004.,Dave Grohl,Enrique Iglesias,Gavin Rossdale,Mark Anthony,D,medium,false,
Celebrities,Actor Ben Stiller married this actress in 2000.,Pam Anderson,Nikki Taylor,Christine Taylor,Heather Graham,C,medium,false,
Celebrities,"In 2002, pop diva Gwen Stefani married the former lead singer of the band Bush. What is the name of Stefanis significant other?",Ross Gavindale,Nigel Pulsford,Gavin Rossdale,Chris Traynor,C,medium,false,
Celebrities,What actor did Demi Moore marry in 2005?,Ashton Kutcher,Bruce Willis,Brendan Fraser,Patrick Dempsey,A,medium,false,
Celebrities,"In 2005, actress Jennifer Garner married this Hollywood movie star.",Matt Houston,Matt Damon,Ben Affleck,John Stamos,C,medium,false,
Celebrities,"This actor made his film debut in Rubberface and followed it with appearances in Copper Mountain, Once Bitten and Peggy Sue Got Married before he hit the big time.",Dean Cain,Jim Carrey,Matt Dillon,Alan Cumming,B,medium,false,
Celebrities,This American actor played the roles of Mr. Big in the 007 film Live and Let Die and Parker in the hit Sci-Fi movie Alien.  He later starred in the TV show Homicide: Life on the Street.,Yaphet Kotto,Nicholas Downs,Dana Carvey,George Chakiris,A,medium,false,
Celebrities,This British actor is the eldest of a pair of twins and who played George Weasley in the Harry Potter series of films.,Yaphet Kotto,Sean Astin,Samuel Sarpong,Oliver Phelps,D,medium,false,
Celebrities,This American actor was one of the child stars of The Goonies and also played a brave and helpful hobbit in Lord Of The Rings.,Orlando Bloom,Garrett Hedlund,Sean Astin,Norman Reedus,C,medium,false,
Celebrities,"This American actor has received two Academy Award nominations for Best Actor in a Leading Role, winning it once for his portrayal of a suicidal alcoholic in Leaving Las Vegas.",Steve Buscemi,Nicholas Cage,Macaulay Culkin,Danny Glover,B,medium,false,
Celebrities,"This British actor came to fame playing a drug addict in Trainspotting and has appeared in a variety of independent and blockbuster movies, including the recent Star Wars films.",Ian McKellen,Ryan Reynolds,Norman Wisdom,Ewan McGregor,D,medium,false,
