category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - AWS Solutions Architect Certificate,Which statement best matches the AWS Certified Solutions Architect - Professional exam scope?,It validates advanced architecture skills for optimized AWS solutions across complex requirements.,It focuses mainly on frontend mobile application development.,It focuses only on Linux operating system administration.,It validates entry-level AWS Cloud terminology only.,A,easy,false,
Computer - AWS Solutions Architect Certificate,A company has strict RTO and RPO requirements. Which SAP-C02 design skill is most directly being tested?,Writing mobile app frontend components.,Selecting a laptop operating system.,Designing disaster recovery and resilient architectures around business recovery objectives.,Choosing a code editor for developers.,C,easy,false,
Computer - AWS Solutions Architect Certificate,"For a professional-level architecture question, which approach is usually best?",Always choose the newest AWS service even if it does not match the requirement.,Ignore business requirements and select the most familiar service.,"Identify constraints such as security, cost, RTO, RPO, latency, scale, and operational effort before choosing a service.",Always choose the lowest-cost option regardless of reliability or security.,C,medium,false,
Computer - AWS Solutions Architect Certificate,A question asks for the MOST operationally efficient solution. What should that wording make you prioritize?,A design with the most custom scripts possible.,"Managed services, automation, and reduced undifferentiated operational work.",A solution that requires frequent manual failover.,Manual patching and self-managed servers.,B,medium,false,
Computer - AWS Solutions Architect Certificate,A question asks for the MOST cost-effective highly available architecture. What should you avoid?,Using Auto Scaling for variable demand.,Matching storage classes to access patterns.,Using managed services when they satisfy the requirements.,Overprovisioned resources or active-active multi-Region designs when the requirements do not justify them.,D,medium,false,
Computer - AWS Solutions Architect Certificate,What is the primary purpose of AWS Signature Version 4 when calling AWS APIs?,To compress S3 objects before upload.,To replicate API requests across all AWS Regions.,To authenticate and integrity-protect API requests by signing them with AWS credentials.,To encrypt EBS volumes automatically.,C,medium,false,
Computer - AWS Solutions Architect Certificate,An EC2 application needs to call AWS APIs securely. Which credential approach is best practice?,Store long-term IAM user access keys in the application source code.,Attach an IAM role to the instance and use temporary credentials from the instance metadata service.,Disable IAM authentication for the API calls.,Share the root account access keys with the application.,B,easy,false,
Computer - AWS Solutions Architect Certificate,An application receives throttling errors from an AWS API during bursts. What is the best client-side retry strategy?,Disable TLS to reduce latency.,Retry immediately in a tight loop from every client.,Create one root access key per thread.,Use exponential backoff with jitter and make operations idempotent where possible.,D,medium,false,
Computer - AWS Solutions Architect Certificate,"Which service provides temporary, limited-privilege credentials for roles and federation?",AWS Security Token Service (AWS STS),AWS DataSync,Amazon Route 53,Amazon S3 Glacier,A,easy,false,
Computer - AWS Solutions Architect Certificate,"Which service records AWS account API activity for governance, compliance, and operational auditing?",Amazon ElastiCache,AWS CloudTrail,Amazon CloudFront,AWS Glue,B,easy,false,
Computer - AWS Solutions Architect Certificate,A CloudFormation stack update should be reviewed before resources are changed. Which feature should the architect use?,VPC Flow Logs,S3 Transfer Acceleration,Change sets,DynamoDB Streams,C,medium,false,
Computer - AWS Solutions Architect Certificate,Which S3 feature should be enabled to keep multiple versions of an object and recover from accidental overwrites or deletes?,S3 Transfer Acceleration,S3 Select only,S3 Versioning,S3 Static Website Hosting only,C,easy,false,
Computer - AWS Solutions Architect Certificate,A company must retain objects in WORM form for a regulatory period so that they cannot be overwritten or deleted. Which S3 feature is designed for this?,S3 Object Lock,S3 Event Notifications,S3 Requester Pays,S3 Inventory,A,medium,false,
Computer - AWS Solutions Architect Certificate,Which S3 Object Lock retention mode prevents even the root user from deleting or shortening retention until the period expires?,Compliance mode,Website hosting mode,Requester Pays mode,Governance mode,A,hard,false,
Computer - AWS Solutions Architect Certificate,A workload has unpredictable access patterns and needs automatic movement between frequent and infrequent access tiers without retrieval fees. Which S3 storage class is best?,S3 One Zone-Infrequent Access only,S3 Intelligent-Tiering,S3 Glacier Deep Archive only,S3 Express One Zone only,B,medium,false,
Computer - AWS Solutions Architect Certificate,Which S3 storage class is generally best for long-term archive data that is rarely accessed and can tolerate retrieval times measured in hours?,S3 Standard only,S3 Glacier Flexible Retrieval or S3 Glacier Deep Archive depending on retrieval needs,S3 Express One Zone only,S3 Standard-Infrequent Access for all archive data regardless of access pattern,B,medium,false,
Computer - AWS Solutions Architect Certificate,A company needs to replicate S3 objects to another Region for compliance. What must be enabled on the source and destination buckets?,Requester Pays,S3 Select,Versioning,Static website hosting,C,medium,false,
Computer - AWS Solutions Architect Certificate,Which feature can guarantee that most S3 replicated objects meet a 15-minute replication SLA when configured correctly?,S3 Transfer Acceleration,S3 Select,S3 Replication Time Control,S3 Object Lambda,C,hard,false,
Computer - AWS Solutions Architect Certificate,A private S3 bucket should be accessed by CloudFront without making the bucket public. Which modern CloudFront feature is preferred?,Origin Access Control (OAC),A NAT gateway in front of S3,An Internet Gateway attached to S3,A public bucket policy that allows everyone,A,medium,false,
Computer - AWS Solutions Architect Certificate,Which statement is most accurate for a current SAP-C02 learner regarding Amazon S3 Select?,S3 Select is a storage class for archive objects.,S3 Select is the current preferred AWS service for all new data lake SQL analytics.,S3 Select is required for S3 Cross-Region Replication.,"S3 Select can filter the contents of a single S3 object with SQL, but it is no longer available to new customers, so new designs should generally use alternatives such as Athena or application-side filtering.",D,hard,false,
Computer - AWS Solutions Architect Certificate,"A company needs to apply the same operation to billions of existing S3 objects, such as copying objects or invoking Lambda. Which feature should be considered?",S3 Batch Operations,S3 Object Ownership only,S3 Transfer Acceleration only,S3 Static Website Hosting,A,medium,false,
Computer - AWS Solutions Architect Certificate,What does S3 Object Ownership with Bucket owner enforced do?,Disables ACLs and makes the bucket owner automatically own objects in the bucket.,Requires all objects to be publicly readable.,Turns the bucket into a block storage volume.,Replicates the bucket to every AWS Region automatically.,A,medium,false,
Computer - AWS Solutions Architect Certificate,A global user base uploads large objects to a centralized S3 bucket over long distances. Which S3 feature can improve upload performance by using AWS edge locations?,S3 Transfer Acceleration,S3 Glacier Deep Archive,S3 Inventory,S3 Object Lock,A,medium,false,
Computer - AWS Solutions Architect Certificate,An application needs event-driven processing whenever new objects are created in an S3 bucket. Which target can S3 event notifications invoke directly?,AWS Lambda,AWS Direct Connect,Amazon EBS,Amazon Route 53 Resolver,A,easy,false,
Computer - AWS Solutions Architect Certificate,"A company needs centralized visibility into object counts, storage usage, and activity trends across many S3 buckets. Which feature is purpose-built for this?",S3 Object Lock legal holds only,S3 Storage Lens,S3 Multi-Part Upload,S3 Website Hosting,B,medium,false,
Computer - AWS Solutions Architect Certificate,Which VPC control is stateful and automatically allows return traffic for allowed inbound or outbound traffic?,Security group,Network ACL,Route table,VPC Flow Log,A,easy,false,
Computer - AWS Solutions Architect Certificate,Which VPC control is stateless and evaluates both inbound and outbound rules separately at the subnet boundary?,Security group,Internet gateway,Network ACL,NAT gateway,C,easy,false,
Computer - AWS Solutions Architect Certificate,"A private subnet needs outbound IPv4 internet access for patch downloads, but no inbound connections should be initiated from the internet. Which component is appropriate?",Route 53 health check,NAT gateway in a public subnet with routes from the private subnet,VPC peering connection to the internet,Internet gateway directly attached to the private subnet instances,B,medium,false,
Computer - AWS Solutions Architect Certificate,A solution needs transitive routing among many VPCs and on-premises networks using a hub-and-spoke model. Which service is usually best?,VPC peering mesh with transitive routing,NAT gateway,Amazon CloudFront,AWS Transit Gateway,D,medium,false,
Computer - AWS Solutions Architect Certificate,Why is VPC peering not ideal for connecting many VPCs that require transitive routing?,VPC peering encrypts data only with customer-managed keys.,VPC peering is non-transitive and does not support overlapping CIDR blocks.,VPC peering works only for S3 buckets.,VPC peering requires CloudFormation StackSets.,B,medium,false,
Computer - AWS Solutions Architect Certificate,A private subnet needs private access to Amazon S3 with no NAT gateway data processing charges. Which endpoint type is commonly used?,Internet gateway endpoint for S3,Transit Gateway endpoint for S3,Gateway VPC endpoint for S3,NAT gateway endpoint for S3,C,medium,false,
Computer - AWS Solutions Architect Certificate,A company wants private connectivity from a VPC to supported AWS services or partner services using private IPs and ENIs. Which technology is this?,Route 53 public hosted zones only,AWS PrivateLink with interface VPC endpoints,S3 static website hosting,Elastic IP reassociation,B,medium,false,
Computer - AWS Solutions Architect Certificate,"Which feature records metadata about accepted and rejected IP traffic for VPC resources, but not packet payloads?",AWS Config conformance packs,CloudFront signed cookies,S3 Inventory,VPC Flow Logs,D,easy,false,
Computer - AWS Solutions Architect Certificate,A company needs a dedicated private network connection from its data center to AWS with consistent bandwidth. Which service should it use?,AWS Direct Connect,Amazon CloudFront,AWS Site-to-Site VPN only,AWS Data Exchange,A,easy,false,
Computer - AWS Solutions Architect Certificate,A hybrid network needs DNS resolution between on-premises DNS servers and Route 53 private hosted zones. Which Route 53 feature is relevant?,Route 53 Resolver inbound and outbound endpoints,Route 53 domain registration only,Route 53 public health checks only,CloudFront origin groups,A,medium,false,
Computer - AWS Solutions Architect Certificate,A private IPv6 subnet needs outbound-only internet access without allowing unsolicited inbound internet traffic. Which component is designed for this?,Gateway Load Balancer endpoint,Route 53 Resolver rule,Egress-only internet gateway,NAT gateway for IPv6,C,medium,false,
Computer - AWS Solutions Architect Certificate,Which load balancer type is best for deploying third-party virtual appliances such as firewalls while preserving source and destination traffic flows?,Classic Load Balancer,Gateway Load Balancer,Application Load Balancer only,Network Load Balancer only,B,hard,false,
Computer - AWS Solutions Architect Certificate,A service in one VPC should be privately exposed to consumers in other VPCs without requiring VPC peering or route table changes between the VPCs. Which pattern fits best?,Use an Internet Gateway on the consumer VPC only.,Expose the service with AWS PrivateLink.,Make every subnet public.,Use S3 Transfer Acceleration.,B,medium,false,
Computer - AWS Solutions Architect Certificate,Which Route 53 routing policy routes users to the AWS Region with the lowest network latency from their location?,Weighted routing,Latency-based routing,Failover routing,Simple routing,B,easy,false,
Computer - AWS Solutions Architect Certificate,Which Route 53 routing policy is best for active-passive DNS failover using health checks?,Simple routing,Failover routing,Geoproximity routing,Multivalue answer routing,B,easy,false,
Computer - AWS Solutions Architect Certificate,Which Route 53 record type can point the zone apex to AWS resources such as an ALB or CloudFront distribution?,Alias record,TXT record only,CNAME record at the zone apex,MX record,A,medium,false,
Computer - AWS Solutions Architect Certificate,A global TCP application needs two static anycast IP addresses and traffic routed over the AWS global network to healthy regional endpoints. Which service is designed for this?,AWS DataSync,AWS Global Accelerator,Amazon Route 53 Resolver,Amazon CloudFront only,B,medium,false,
Computer - AWS Solutions Architect Certificate,When should CloudFront usually be preferred over Global Accelerator?,When the workload is HTTP/HTTPS content that benefits from edge caching and CDN features.,When the only requirement is a managed Kafka cluster.,When the workload is non-HTTP TCP traffic that only needs static anycast IPs.,When the application needs block storage attached to EC2.,A,medium,false,
Computer - AWS Solutions Architect Certificate,A function must have a guaranteed amount of concurrency while also limiting its maximum concurrency. Which Lambda setting is used?,Reserved concurrency,S3 lifecycle policy,Route 53 weighted routing,Provisioned throughput,A,medium,false,
Computer - AWS Solutions Architect Certificate,A latency-sensitive Lambda workload needs predictable startup latency during traffic spikes. Which feature should be considered?,DynamoDB TTL,Provisioned concurrency,AWS DataSync task scheduling,S3 Object Lock,B,medium,false,
Computer - AWS Solutions Architect Certificate,A Lambda function running inside a VPC must access the public internet. What is generally required?,A private hosted zone only,A security group rule that alone grants internet routing,An EBS volume mounted to the function,A route from the Lambda subnets to a NAT gateway or NAT instance in a public subnet,D,medium,false,
Computer - AWS Solutions Architect Certificate,Which statement about Lambda and Amazon SQS event source mappings is correct?,A NAT gateway is always required for Lambda to poll SQS.,"Lambda polls SQS, invokes the function with batches, and deletes messages only after successful processing.",SQS pushes messages directly into Lambda execution environments without polling.,Messages are deleted before the function runs to improve performance.,B,hard,false,
Computer - AWS Solutions Architect Certificate,Which workload is a poor fit for AWS Lambda without redesign?,Short event-driven image thumbnail creation.,Running lightweight API backend logic.,A single request that must run continuously for several hours.,Processing S3 object-created events.,C,easy,false,
Computer - AWS Solutions Architect Certificate,"Which service can coordinate multiple Lambda functions with retries, branching, and long-running workflow state?",AWS Step Functions,AWS Direct Connect,S3 Transfer Acceleration,Amazon EBS,A,medium,false,
Computer - AWS Solutions Architect Certificate,What is the main purpose of Amazon CloudFront?,To deliver content through edge locations with caching and edge security features.,To create private subnets.,To run relational database engines.,To provide block storage volumes for EC2.,A,easy,false,
Computer - AWS Solutions Architect Certificate,A company needs to restrict access to paid video content delivered through CloudFront. Which feature is appropriate?,Signed URLs or signed cookies,DynamoDB TTL,NAT gateway rules,S3 public read ACLs for all objects,A,medium,false,
Computer - AWS Solutions Architect Certificate,Which edge compute option is best for lightweight JavaScript logic at viewer request or viewer response events with very low latency?,Amazon EMR,CloudFront Functions,AWS Glue crawlers,AWS Batch,B,medium,false,
Computer - AWS Solutions Architect Certificate,Which CloudFront feature can add an additional centralized caching layer in front of the origin to improve origin cache hit ratio?,EBS Fast Snapshot Restore,S3 Object Lock,Route 53 Resolver,Origin Shield,D,medium,false,
Computer - AWS Solutions Architect Certificate,A CloudFront distribution should fail over from a primary origin to a secondary origin when errors occur. Which feature supports this?,Origin groups with failover criteria,DynamoDB global secondary indexes,SQS long polling,EBS Multi-Attach,A,medium,false,
