category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Geology Identification - Rocks,Identify the rock shown in specimen image R001.,Granite,Limestone,Schist,Scoria,A,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Bianco_Sardo_Granit_mit_polierter_Oberfl%C3%A4che.jpg/330px-Bianco_Sardo_Granit_mit_polierter_Oberfl%C3%A4che.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R002.,Diorite,Chert,Basalt,Conglomerate,C,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Basalt_12_%2848674276333%29.jpg/330px-Basalt_12_%2848674276333%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R003.,Quartzite,Obsidian,Marble,Andesite,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Lipari-Obsidienne_%285%29.jpg/330px-Lipari-Obsidienne_%285%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R004.,Andesite,Marble,Gneiss,Pumice,D,easy,false,https://upload.wikimedia.org/wikipedia/commons/7/7b/Teidepumice.jpg
Geology Identification - Rocks,Identify the rock shown in specimen image R005.,Scoria,Quartzite,Schist,Marble,A,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Scoria_edit.jpg/330px-Scoria_edit.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R006.,Sandstone,Rhyolite,Marble,Gneiss,B,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Loebejuener_porphyr_poliert.jpg/330px-Loebejuener_porphyr_poliert.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R007.,Marble,Andesite,Chert,Slate,B,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Amygdaloidal_andesite.jpg/330px-Amygdaloidal_andesite.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R008.,Diorite,Basalt,Scoria,Rhyolite,A,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Diorite2.tif/lossy-page1-330px-Diorite2.tif.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R009.,Gabbro,Scoria,Basalt,Conglomerate,A,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Gabbro_%28GeoDIL_number_-_94%29.jpg/330px-Gabbro_%28GeoDIL_number_-_94%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R010.,Shale,Sandstone,Pumice,Limestone,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/USDA_Mineral_Sandstone_93c3955.jpg/330px-USDA_Mineral_Sandstone_93c3955.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R011.,Shale,Marble,Limestone,Diorite,A,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Shale_formation%2C_Marble_Canyon%2C_Kootenay_National_Park%2C_British_Columbia%2C_2025-07-11.jpg/330px-Shale_formation%2C_Marble_Canyon%2C_Kootenay_National_Park%2C_British_Columbia%2C_2025-07-11.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R012.,Limestone,Obsidian,Schist,Diorite,A,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/ElTorcal0408.jpg/330px-ElTorcal0408.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R013.,Shale,Gabbro,Pumice,Conglomerate,D,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Ferruginous_quartz-pebble_conglomerate_%28derived_from_boulder_in_%22Sharon_Conglomerate%22%2C_Lower_Pennsylvanian%3B_Jackson_North_roadcut%2C_Ohio%2C_USA%29_30.jpg/330px-Ferruginous_quartz-pebble_conglomerate_%28derived_from_boulder_in_%22Sharon_Conglomerate%22%2C_Lower_Pennsylvanian%3B_Jackson_North_roadcut%2C_Ohio%2C_USA%29_30.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R014.,Breccia,Pumice,Obsidian,Limestone,A,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Basalt_breccia.jpg/330px-Basalt_breccia.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R015.,Chert,Sandstone,Schist,Rhyolite,A,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/ChertUSGOV.jpg/330px-ChertUSGOV.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R016.,Obsidian,Scoria,Conglomerate,Slate,D,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Slate_%28Knife_Lake_Formation%2C_metamorphism_at_2.7_Ga%2C_Neoarchean%3B_Rt._135_roadcut%2C_Gilbert%2C_Minnesota%2C_USA%29_3_%2823140002749%29.jpg/330px-Slate_%28Knife_Lake_Formation%2C_metamorphism_at_2.7_Ga%2C_Neoarchean%3B_Rt._135_roadcut%2C_Gilbert%2C_Minnesota%2C_USA%29_3_%2823140002749%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R017.,Shale,Schist,Gabbro,Sandstone,B,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Schist_detail.jpg/330px-Schist_detail.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R018.,Conglomerate,Gneiss,Diorite,Quartzite,B,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Gneiss.jpg/330px-Gneiss.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R019.,Marble,Granite,Sandstone,Obsidian,A,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Marmo_z17.JPG/330px-Marmo_z17.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Rocks,Identify the rock shown in specimen image R020.,Scoria,Quartzite,Shale,Slate,B,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Quartzite_Solli%C3%A8res.jpg/330px-Quartzite_Solli%C3%A8res.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
