category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Video Games,In what fictional city is the TV show Futurama set?,New Chicago,New New York,New San Francisco,None of these,B,medium,false,
Video Games,What is the lowest ranking species in the Covenant hierarchy in the Halo series?,Drone,Brute,Elite,Grunt,D,medium,false,
Video Games,Who controls the Flood in the Halo series?,Gravemind,The Prophet of Truth,The Arbiter,No one,A,medium,false,
Video Games,What is a SPARTAN in the Halo series?,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these,D,medium,false,
Video Games,What species is the Didact in the Halo series?,Forerunner,Precursor,Promethean,Yamne,A,medium,false,
Video Games,"In the Halo series, Zealots use Energy Swords.",True,False,,,A,medium,false,
Video Games,Which of the following does the UNSC use to transport troops in the halo series?,Falcons,Hornets,Phantoms,Pelicans,D,medium,false,
Video Games,What does UNSC stand for in the Halo series?,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court,C,medium,false,
Video Games,What is the largest UNSC ship in the Halo series?,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn,B,medium,false,
Video Games,What city does Halo 3 ODST take place in?,Voi,New Mombasa,Toronto,New York,B,medium,false,
Video Games,What is the largest species of the Covenant in the Halo series?,Brute,Hunter,Jackal,Elite,B,medium,false,
Video Games,Who made the fictional Mother Brain and for what purpose?,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.,D,medium,false,
Video Games,How did the Alimbics become extinct in the Metroid series?,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.,C,medium,false,
Video Games,What creature passes on the X Parasite to Samus in the Metroid series?,Metroid,Space Pirate,Kihunter,Hornoad,D,medium,false,
Video Games,Who is the Deleter in the Metroid series?,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce,D,medium,false,
Video Games,Kraid is the only one of his species encountered in the Metroid game.,True,False,,,B,medium,false,
Video Games,What do Steamlords keep as pets in the Metroid series of games?,Steambot,Warp Hound,Steamspider,Vaporwing,D,medium,false,
Video Games,An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?,Worm,Beast,Destroyer,Consumer,A,medium,false,
Video Games,King Worm can be fought after Mother Brainin Metroid Zero Mission.,True,False,,,A,medium,false,
Video Games,What planet are Kihunters from in the Metroid games?,Space Pirate Homeworld,Unknown,SR388,Zebes,B,medium,false,
Video Games,What planet is Samus from  in the Metorid games?,It is unknown,K-2L,Norion,Zebes,B,medium,false,
Video Games,What is the name of the enemy faction in the first N.O.V.A?,Xenos,Volterites,Judgers,The Dominion,A,medium,false,
Video Games,The N.O.V.A 3 Shotgun is both semi and fully automatic.,False,True,,,B,medium,false,
Video Games,On which planet does the first two missions in N.O.V.A 2 take place?,Sagittarius,Earth,New Ceres,Aquarius,D,medium,false,
Video Games,Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?,Prometheus,Yelena,MazRah,Rufus,C,medium,false,
Video Games,"In N.O.V.A, Kal Wardin is rewarded for finding out what happened aboard the Colonial Pride by almost being killed.",False,True,,,B,medium,false,
Video Games,Who is the leader of the Volterites in N.O.V.A?,MazRah,None of the above,Prometheus,The Overseer,D,medium,false,
Video Games,Which Xeno is capable of teleporting in N.O.V.A?,Heavy Demon,Red Demon,Imp,Fiend,A,medium,false,
Video Games,"In N.O.V.A, President Folson is unarmed.",False,True,,,A,medium,false,
Video Games,Boreas is the only desert planet in the N.O.V.A series.,False,True,,,A,medium,false,
Video Games,What is the name of the damsel you have to save in the classic arcade game Donkey Kong?,Peach,Daisy,Pauline,Dixie Kong,C,medium,false,
Video Games,"Which of these was a name that game character, Mario, was once called?",Koopa,Plumberio,Jumpman,Luigi,C,medium,false,
Video Games,"Who or what turned Warios treasure into monsters in the game, Wario World?",Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser,C,medium,false,
Video Games,"In the Mario games, what animal is a paratroopa?",A bird,A lizard,A turtle,A tiger,C,medium,false,
Video Games,"When first created, Mario game character, Birdo, was what?",A dog,A boy,A girl,A bird,B,medium,false,
Video Games,"In the video games of Mario, is Luigi Marios cousin?",No,Yes,,,A,medium,false,
Video Games,"In the Mario video games, Bowser is the king of what?",Bowsers,The Jungle,Mushroom Kingdom,Koopas,D,medium,false,
Video Games,Who is the last boss in video game Paper Mario 2?,Gloom Tail,Bowser,Shadow Queen,Cackletta,C,medium,false,
Video Games,Which movie is this Warcraft 3 quote from? Bandit: -What we have here is a failure to communicate.,For a Fistful of Dollars,Dirty Sanchez,Cool Hand Luke,Metal Man,C,medium,false,
Video Games,Where does the popular video game character Mario live?,The Koopa Kingdom,The Kingdom of Sarasaland,The Mushroom Kingdom,Yoshi Island,C,medium,false,
Video Games,What is Marios nationality according to Nintendo video games?,Italian,American,Mexican,British,A,medium,false,
Video Games,Has the video game character Mario ever been in a TV show?,No,Yes,,,B,medium,false,
Video Games,What was the first video game in which Mario appeared?,Mario,The Mario Bros.,Super Mario,Donkey Kong,D,medium,false,
Video Games,Why does Mario wear a red cap in the Mario series of games?,The creators didnt have the technology to animate his hair.,He is bald.,He cant make his hair neat.,He likes his cap.,A,medium,false,
Video Games,Has Nintendo character Mario ever been a bad guy?,No,Yes,,,B,medium,false,
Video Games,What does the Fire Flower do to Mario in the Mario video games?,Allows him to breath fire.,Nothing,It makes him angry.,Allows him to throw fire balls.,D,medium,false,
Video Games,What effect does the Super Mushroom have on Mario in the popular series of video games?,It makes him bigger.,None,It makes him impervious to danger.,It makes him smaller.,A,medium,false,
Video Games,"In the Mario series of video games, Mario never uses any weapons.",False,True,,,A,medium,false,
Video Games,What is Marios occupation in the Mario series of games?,engineer,doctor,plumber,electrician,C,medium,false,
Video Games,What is the name of the land where most of the Legend of Zelda games take place?,Hylia,Hyrule,Sacred Realm,Termania,B,medium,false,
Video Games,Which monster made its first appearance in the game The Legend of Zelda: Majoras Mask?,Chu-Chu,Armos,Keese,Octorok,A,medium,false,
Video Games,Which one of the Legend of Zelda games does not feature the same Link as the others?,Ocarina of Time,Links Awakening,Wind Waker,Majoras Mask,C,medium,false,
Video Games,Which of the following is not an item that Link uses in the Legend of Zelda series of games?,A magical leaf used for flying,A spear used for immobilizing enemies,A jar that can suck stuff into it and shoot out gusts of wind,A candle for shooting fire at enemies,B,medium,false,
Video Games,In the Legend of Zelda series of games Link has not worn a tunic in what colour?,yellow,blue,red,green,A,medium,false,
Video Games,Which games were included in the 2003 Legend of Zelda Collectors edition that became available on the Nintendo GameCube?,"The Legenda of Zelda, The Adventure of Link, A Link to the Past, Ocarina of TIme","Orcale of Seasons, Orcale of Ages, Links Awakening, and Minish Cap","The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","A Link to the Past, Majoras Mask, Ocarina of Time, Wind Waker",C,medium,false,
Video Games,"Which Final Fantasy 3 character is known for blitzes such as Bum Rush, Pummel, and Suplex?",Edgar,Setzer,Locke,Sabin,D,medium,false,
Video Games,What character from the Final Fantasy series used a weapon called the Buster Sword?,Sephiroth,Squall Leonhart,Cloud Strife,Seifer Almasy,C,medium,false,
Video Games,What was the name of the summoned creatures that aided the characters in the Final Fantasy 8 game?,Materia,Summonings,Espers,Guardian Forces,D,medium,false,
Video Games,Which character was the main villain in the American Final Fantasy 3 game?,Sin,Kefka,Garland,Sephiroth,B,medium,false,
Video Games,Which Final Fantasy game was released in North America on 7 September 1999?,Final Fantasy 10,Final Fantasy 9,Final Fantasy 8,Final Fantasy 7,C,medium,false,
Video Games,Which one of these Final Fantasy characters didnt own an airship?,Setzer Gabbiani,Daryl,Rinoa Heartilly,Cid Highwind,C,medium,false,
