category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Animals,Three of these animals hibernate. Which one does not?,Mouse,Sloth,Frog,Snake,B,medium,false,
Animals,All of these animals are omnivorous except one.,Fox,Mouse,Opossum,Snail,D,medium,false,
Animals,Three of these Latin names are names of bears. Which is the odd one?,Melursus ursinus,Helarctos malayanus,Ursus minimus,Felis silvestris catus,D,medium,false,
Animals,These are typical Australian animals except one.,Platypus,Dingo,Echidna,Sloth,D,medium,false,
Animals,Representatives of three of these species produce venom of their own. Which is the odd species?,Lizards,Scorpions,Frogs,Mosquitos,D,medium,false,
Animals,Three of these species shed their skin. Which one does not?,Penguins,Snakes,Insects,Crustaceans,A,medium,false,
Animals,"All dogs, cats and birds are colorblind.",True,False,"","",B,medium,false,
Animals,All of these animals have large ears (relative to their size) except one.,Polar bears,Foxes,Bats,Elephants,A,medium,false,
Animals,This percentage of all snakes on Earth are lethal to humans.,10%,20%,15%,25%,C,medium,false,
Animals,Snakes are this kind of animals.,Herbivorous,Omnivorous,Carnivorous,Vegetarian,C,medium,false,
Animals,Snakes consume their food by means of this process.,Breathing,Absorption,Swallowing,Chewing,C,medium,false,
Animals,Snakes reproduce only by laying eggs.,True,False,"","",B,medium,false,
Animals,Snakes are deaf.,True,False,"","",A,medium,false,
Animals,Snake skin is covered in scales.,True,False,"","",A,medium,false,
Animals,Snakes belong to the following category.,Invertebrates,Lizards,Reptiles,Mammals,C,medium,false,
Animals,A specialist in snakes is called one of these.,Pisciculturist,Ornithologist,Ophiologist,Herpetologist,C,medium,false,
Animals,One of the following snakes does not belong to the Viperidae family.,Horned adder,Grass snake,Viper,Asp,B,medium,false,
Animals,"Snakes are very likely to attack us, regardless of whether they feel threatened or not.",True,False,"","",B,medium,false,
Animals,"Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.",South America and Asia,Asia and Africa,Asia and Australia,South America and Australia,B,medium,false,
Animals,"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.",Balance control,Heat collection from sun rays,Camouflage,More threatening appearance,D,medium,false,
Animals,"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.",Jackal,Mongoose,Lynx,Eagle,B,medium,false,
Animals,This is where the Cobras ribs are situated.,Behind its head,"In its chest, around the middle of the body",Cobras have no ribs,In its tale,A,medium,false,
Animals,"The King Cobra feeds almost exclusively on other snakes, even toxic ones.",True,False,"","",A,medium,false,
Animals,A baby cobra is fully able to defend itself in as little as this many hours after being born.,3,12,48,72,A,medium,false,
Animals,What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?,German Shepherd,Cocker Spaniel,Golden Retriever,Welsh Corgy,B,medium,false,
Animals,What was the name of Socks companion at the White House during the Clinton Administration?,Buddy,Shoes,Bailey,Buster,A,medium,false,
Animals,President Fords dog was named Freedom.,False,True,"","",A,medium,false,
Animals,Which of these Presidents had the most pets?,Franklin Delano Roosevelt,Theodore Roosevelt,Bill Clinton,Woodrow Wilson,B,medium,false,
Animals,What breed is known as the favourite breed of Queen Elizabeth II?,Border Collie,Old English Sheepdog,Welsh Corgi,Australian Cattle Dog,C,medium,false,
Animals,What was the name of Fraisers fathers dog on the hit TV show set in Seattle?,Niles,Marty,Eddie,Skip,C,medium,false,
Animals,Which one of these sea mammals is not in the endangered species lists?,Fin Whale,Pilot whale,Blue Whale,Humpback Whale,B,medium,false,
Animals,"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).",Leatherback Sea Turtle,Kemps Ridley Turtle,Hawksbill Sea Turtle,Mesoamerican River Turtle,A,medium,false,
Animals,Name the rarest and most endangered of all wolves.,Red Wolf,Ethiopian Wolf,Black-backed Wolf,Gray Wolf,A,medium,false,
Animals,"The endangered Komodo dragon is the largest living lizard in the world, growing to an average length of 2-3 meters (10 feet).",False,True,"","",B,medium,false,
Animals,"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.",Gorilla,Baboons,Orangutan,Chimpanzee,C,medium,false,
Animals,"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?",North America,Central Asia and North America,Central Asia,Europe and North America,C,medium,false,
Animals,"The Asian Elephant, the only living species of the genus Elephas, is the bigger relative of the African Elephant.",True,False,"","",B,medium,false,
Animals,"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.",Ganges River Dolphin,Chinese River Dolphin,La Plata Dolphin,Amazon River Dolphin,B,medium,false,
Animals,"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.",Cape Fox,Red Fox,Bengal Fox,Fennec,D,medium,false,
Animals,"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?",North America,Australia,Africa,Asia,B,medium,false,
Animals,"This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.",Oribi,Roan Antelope,Scimitar Oryx,Klipspringer,D,medium,false,
Animals,"Although the jumping viper, a chiefly nocturnal snake, is one of the most powerful jumpers of the snake family, capable of rising up to 1 meter (3 feet) during a strike, its poison is not lethal to humans.",False,True,"","",A,medium,false,
Animals,Zoophobia is the fear of animals.,True,False,"","",A,medium,false,
Animals,The hummingbird is the worlds smallest bird.,False,True,"","",B,medium,false,
Animals,Which of these animals swims the fastest?,Flounder,Shark,Dolphin,Jellyfish,C,medium,false,
