category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
General,This drink contains caffeine.,Mineral water,Orange juice,Coffee,Beer,C,medium,false,
General,Finish the proverb:,,,,,A,medium,false,
General,If a TV program is rated G then this is true.,It contains moderate violence.,It contains mild sexual situations.,It is suitable for all audiences.,It is suitable for young children.,C,medium,false,
General,The theory of relativity was introduced in physics by this man.,Galileo Galilei,Albert Einstein,Archimedes,Isaac Newton,B,medium,false,
General,The symbol for the chemical element iron is this.,I,Fe,Zn,Br,B,medium,false,
General,The author of the novel A Portrait of the Artist as a Young Man is this writer.,T. S. Eliot,Samuel Beckett,William Faulkner,James Joyce,D,medium,false,
General,The capital of Mongolia is this city.,Davao,Islamabad,Quezon,Ulaanbaatar,D,medium,false,
General,Mitochondrias function in cells is to perform this.,To control chemical reactions within the cytoplasm,To store information needed for cellular division,To convert organic materials into energy,To process proteins targeted to the plasma membrane,C,medium,false,
General,The US bought Alaska in this year.,1942,1882,1854,1867,D,medium,false,
General,The 23rd US President was in office during this period.,1909 - 1913,1889 - 1893,1837 - 1841,1877 - 1881,B,medium,false,
General,One of these actors did not star in the 1971 movie A Clockwork Orange.,Michael Bates,Patrick Magee,Warren Brown,Malcolm McDowell,C,medium,false,
General,The first Bulgarian state was formed in this year.,429 AD,681 AD,712 AD,651 AD,B,medium,false,
General,The 1962 Soccer World Cup tournament was held in this country.,Switzerland,Mexico,Chile,Italy,C,medium,false,
General,The Meryas were a probably Finno-Ugric tribe who lived in the region of modern Russia. This is the first historian to mention them.,Eusebius of Caesarea,Jordanes,Priscus,Sima Guang,B,medium,false,
General,"The word abacus derives from a Hebrew word, meaning this.",Movement,Sky,Dust,Wood,C,medium,false,
General,The Chevy Nova sold poorly in Mexico because no va means doesnt go in Spanish.,False,True,,,A,medium,false,
General,"A car that gets over 200 miles per gallon is reclaimed by the factory, after its owner calls to congratulate the manufacturers about its excellent performance.",True,False,,,B,medium,false,
General,A very complicated Honda Accord commercial required 606 takes and was done without the use of any computer-generated images.,True,False,,,A,medium,false,
General,Putting sugar in the gas tank of a carburetor-equipped vehicle will ruin the engine.,False,True,,,A,medium,false,
