category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - Traefik v2,"Which Traefik concept best matches this description: a named network listening point, often tied to an address such as :80 or :443.",Access logs,EntryPoint,Dynamic configuration,Middleware,B,easy,false,https://doc.traefik.io/traefik/v3.3/assets/img/routers.png
Computer - Traefik v2,Which Traefik concept best matches this description: the object that matches incoming requests and connects them to services.,Middleware,ForwardAuth middleware,Static configuration,Router,D,easy,false,https://doc.traefik.io/traefik/v3.3/assets/img/routers.png
Computer - Traefik v2,Which Traefik concept best matches this description: the dynamic configuration object that defines where Traefik forwards matched traffic.,Service,AddPrefix middleware,Kubernetes Pod,Headers middleware,A,easy,false,https://doc.traefik.io/traefik/v3.3/assets/img/routers.png
Computer - Traefik v2,Which Traefik concept best matches this description: a component that modifies requests or responses before forwarding or after receiving traffic.,IngressRoute,Tracing,Middleware,Weighted service,C,easy,false,https://doc.traefik.io/traefik/v3.3/assets/img/routers.png
Computer - Traefik v2,"Which Traefik concept best matches this description: a configuration source Traefik watches, such as Docker, Kubernetes, file, or Consul.",Retry middleware,TLS termination,Provider,Static configuration,C,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: configuration used to define Traefik startup-level settings such as entryPoints and providers.,Static configuration,Access logs,Dashboard,Weighted service,A,medium,false,
Computer - Traefik v2,"Which Traefik concept best matches this description: configuration discovered at runtime for routers, services, and middlewares.",Argo CD Application,Dynamic configuration,Docker provider,RateLimit middleware,B,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a matcher expression that determines whether a router handles a request.,Git tag,PathPrefix matcher,Rule,Static configuration,C,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a router matcher that checks the HTTP Host header.,PathPrefix matcher,ForwardAuth middleware,Certificate resolver,Host matcher,D,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a router matcher that checks whether the request path starts with a prefix.,PathPrefix matcher,Git tag,Host matcher,EntryPoint,A,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a router setting used to resolve which matching router should win.,Priority,StripPrefix middleware,Rule,Docker image,A,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: decrypting HTTPS at Traefik before forwarding traffic to backend services.,ACME DNS-01 challenge,TLS termination,Kubernetes Pod,Git tag,B,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: forwarding TLS traffic without terminating it at Traefik.,Router,TLS passthrough,RateLimit middleware,AddPrefix middleware,B,hard,false,
Computer - Traefik v2,"Which Traefik concept best matches this description: a configuration object that obtains and renews certificates, commonly with ACME.",Sticky sessions,Certificate resolver,Docker provider,IngressRoute,B,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a Let’s Encrypt validation method using an HTTP request to prove domain control.,EntryPoint,PathPrefix matcher,StripPrefix middleware,ACME HTTP-01 challenge,D,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a Let’s Encrypt validation method using DNS TXT records.,Git tag,ACME DNS-01 challenge,File provider,Weighted service,B,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a Traefik Kubernetes CRD for HTTP routing with rich Traefik-specific configuration.,AddPrefix middleware,Health check,Middleware,IngressRoute,D,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a Traefik CRD that can define weighted or mirrored service behavior.,TraefikService,TLS termination,Tracing,Certificate resolver,A,hard,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a configuration object controlling how Traefik connects to backend servers.,Kong Consumer,TLS termination,Service,ServersTransport,D,hard,false,
Computer - Traefik v2,Which Traefik concept best matches this description: load-balancing behavior that keeps a client associated with the same backend when possible.,Docker provider,Sticky sessions,File provider,Kubernetes Pod,B,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a service-level mechanism used to test backend server availability.,TLS termination,ServersTransport,Kubernetes Gateway API provider,Health check,D,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a service composition that splits traffic across multiple services according to weights.,Weighted service,Argo CD Application,Kong Consumer,Retry middleware,A,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: a traffic pattern that sends a copy of traffic to another service without affecting the original response.,IngressRoute,Mirroring,TLS passthrough,Sticky sessions,B,hard,false,
Computer - Traefik v2,Which Traefik concept best matches this description: middleware used to redirect requests from one scheme such as HTTP to another such as HTTPS.,RedirectScheme middleware,Kong Consumer,Weighted service,Static configuration,A,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: middleware that removes specified prefixes from the request path.,Provider,ACME HTTP-01 challenge,Access logs,StripPrefix middleware,D,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: middleware that adds a prefix to the request path.,Headers middleware,IPAllowList middleware,Mirroring,AddPrefix middleware,D,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: middleware that protects routes using HTTP Basic Authentication.,BasicAuth middleware,Kong Consumer,IPAllowList middleware,Priority,A,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: middleware that delegates authentication decisions to an external service.,EntryPoint,ForwardAuth middleware,Access logs,BasicAuth middleware,B,medium,false,
Computer - Traefik v2,Which Traefik concept best matches this description: middleware that limits request rates to protect services.,Rule,Mirroring,RateLimit middleware,Service,C,medium,false,
