category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - Comptia A+,MTBF,Mean Time Between Failures,More Tatters Because Fat,Multi Transistor Bio Fab,Mouse Time Battery Fault,A,easy,false,
Computer - Comptia A+,What are the 5 basic steps computers use to operate?,"Storage, Input, Processing, Output, Storage","Input, Storage, Output, Processing, Power","Processing, Output, Storage, Input, Cooling","Booting, Logging in, Installing, Updating, Shutting down",A,medium,false,
Computer - Comptia A+,What is the “system unit”?,The monitor and its stand,"The enclosure that contains the motherboard, RAM, GPU, PSU, drives, cooling, etc.",The keyboard and mouse combined,The set of external speakers,B,medium,false,
Computer - Comptia A+,What is the primary role of a monitor?,Cooling the GPU,Storing files permanently,Output display to the user (readable and/or interactive interface),Converting AC to DC power,C,medium,false,
Computer - Comptia A+,What is a keyboard mainly used for?,Printing documents,Playing audio output,Providing network connectivity,"User input using letters, numbers, and symbols",D,hard,false,
Computer - Comptia A+,What is a mouse mainly used for?,User input by moving a pointer to interact with the screen,Measuring CPU temperature,Increasing RAM capacity,Converting video signals to audio,A,easy,false,
Computer - Comptia A+,What is a speaker?,A motherboard chipset component,An output device for audio,An input device for audio,A storage device for music files,B,easy,false,
Computer - Comptia A+,What does a printer do?,Stores documents permanently like an SSD,Provides internet access through RJ-45,Produces hardcopy output (some also scan/fax),Converts hardcopy to a softcopy file,C,easy,false,
Computer - Comptia A+,What does a scanner do?,Prints hardcopies from digital files (output device),Converts HDMI to DVI,Supplies power to internal components,Creates softcopies from hardcopy documents (input device),D,easy,false,
Computer - Comptia A+,What is USB best described as?,A fiber optic audio-only port,A common plug-and-play port type with multiple “flavors”,A monitor-only legacy port,A parallel printer-only connector,B,easy,false,
Computer - Comptia A+,What is Ethernet primarily used for?,Connecting external hard drives only,Connecting speakers with analog audio,Wired networking using an 8-pin RJ-45 connector,Powering the motherboard directly,C,easy,false,
Computer - Comptia A+,What is eSATA used for?,Connecting monitors,Connecting keyboards only,Fiber optic audio transfer,Primarily external hard drives,D,medium,false,
Computer - Comptia A+,What is S/PDIF used for?,Audio transfer over fiber optic (sometimes coax),High-power GPU connections,Keyboard/mouse legacy input,Printer parallel data transfer,A,hard,false,
Computer - Comptia A+,What is DVI typically used for?,Connecting networks,Connecting monitors or projectors,Connecting hard drives,Connecting microphones,B,medium,false,
Computer - Comptia A+,What is HDMI used for?,Only fiber optic audio,Only printer connections,Audio and video to TVs/media receivers/monitors,Only keyboard input,C,easy,false,
Computer - Comptia A+,What is a 1/8 inch mini RCA jack used for?,External SATA data transfer,Video-only monitor connection,Analog audio connections to microphones or speakers,High-speed wired networking,C,easy,false,
Computer - Comptia A+,What is the “Power” plug on the back of the PSU for?,Bringing power from the wall socket into the PC,Sending video signal to a monitor,Connecting a mouse via PS/2,Connecting a printer via parallel port,A,medium,false,
Computer - Comptia A+,What is FireWire mainly associated with (historically)?,Modern GPUs for display output,Motherboard power delivery,CPU socket standards,Camcorders for video/audio transfer (declining connector),D,medium,false,
Computer - Comptia A+,What is mini-DIN / PS/2 used for?,Fiber optic audio,Legacy mouse and keyboard connections,HDMI audio/video output,External hard drive data transfer,B,medium,false,
Computer - Comptia A+,What is the 9-pin DB (serial) port?,A power connector for SSDs,A fiber optic audio port,A legacy D-sub serial port used with adapters for peripherals,A modern monitor connection,C,hard,false,
Computer - Comptia A+,What is the 25-pin D-sub (parallel) port mainly used for?,HDMI audio/video,CPU cooling control,Ethernet networking,Legacy printer connections,D,medium,false,
Computer - Comptia A+,What is VGA?,A legacy 15-pin (3x5) D-sub connector for monitors/projectors,A fiber optic audio format,A hard drive interface,A type of RAM module,A,easy,false,
Computer - Comptia A+,What does CPU stand for?,Computer Primary Upload,Core Power Utility,Central Processing Unit,Central Peripheral Unit,C,easy,false,
Computer - Comptia A+,Which two companies are major CPU manufacturers?,AMD and Intel,NVIDIA and ASUS,Seagate and Western Digital,Dell and HP,A,easy,false,
Computer - Comptia A+,What is CPU-Z used for?,Printing hardware reports to paper only,"Viewing computer specifications (CPU, GPU, etc.)",Cleaning malware from the system,Overclocking any CPU automatically,B,hard,false,
Computer - Comptia A+,What does “Hertz” mean?,Bytes per second,Pixels per inch,Volts per amp,Cycles per second,D,medium,false,
Computer - Comptia A+,What does “Giga” mean?,Million,Billion,Thousand,Trillion,B,easy,false,
Computer - Comptia A+,What is the system crystal?,A quartz crystal that regulates system/CPU timing,A heatsink mount,A type of RAM connector,A BIOS password chip,A,easy,false,
Computer - Comptia A+,"According to your note, modern CPUs don’t usually run much faster than what (without expensive setups)?",~1.2 THz,~350 MHz,~35 GHz,~3.5 GHz,D,medium,false,
Computer - Comptia A+,What is Hyperthreading (as described here)?,The GPU takes over CPU tasks entirely,Two CPUs share one socket,RAM doubles its speed automatically,One core simulates two cores,D,medium,false,
Computer - Comptia A+,What is L1 cache generally like?,"Largest but slowest, near hard drive speed",External removable memory,"Smallest but fastest, near CPU speed","Only found on motherboards, not CPUs",C,medium,false,
Computer - Comptia A+,What is L2 cache generally like?,Smaller than L1 and slower than RAM,"Larger than L1, slower, around half CPU speed",Only used for video rendering,Stored on the hard drive,B,medium,false,
Computer - Comptia A+,What is L3 cache generally like (per your note)?,"Larger than L2, slower, about motherboard speed; not always present",Always faster than L1,Located inside the PSU,A type of SSD cache only,A,medium,false,
Computer - Comptia A+,What is a limitation of a 32-bit CPU/system?,Can use an exabyte of RAM,Cannot run any operating system,Requires ECC RAM only,Can only use about ~4 GB of RAM,D,easy,false,
Computer - Comptia A+,What is a 64-bit CPU/system (per your note) capable of regarding RAM?,Cannot use RAM at all,Only supports DDR2 memory,Can utilize up to about an exobyte of RAM,Limited to exactly 4 GB,C,medium,false,
Computer - Comptia A+,Where in Windows can you find info like RAM amount and whether it’s 32/64-bit?,Disk Cleanup,System Properties,Device Manager only,Task Scheduler,B,medium,false,
Computer - Comptia A+,What is virtualization (CPU extension) used for?,Making an HDD spin faster,Converting analog audio to digital,Letting a computer simulate/run different operating systems,Physically adding more CPU cores,C,medium,false,
Computer - Comptia A+,What is an integrated GPU?,A dedicated PCIe video card only,A type of fan controller,A hard drive controller,CPU feature providing limited graphics capability,D,medium,false,
Computer - Comptia A+,What is a CPU socket?,The motherboard interface that holds the CPU (pin/size/thermal class),A port used for Ethernet,A case mount for fans,A type of RAM module,A,medium,false,
Computer - Comptia A+,What does PGA stand for?,Primary Ground Array,Pin Grid Array,Power Grid Adapter,Parallel Graphics Accelerator,B,medium,false,
Computer - Comptia A+,What does ZIF stand for?,Zoned Internal Fan,Zipped Interface Format,Zero Insertion Force,Zero Input Frequency,C,hard,false,
Computer - Comptia A+,Which manufacturer generally uses PGA-style CPUs?,NVIDIA,IBM,AMD,Intel,C,medium,false,
Computer - Comptia A+,What does LGA stand for?,Long Graphics Adapter,Low Gain Amplifier,Linked Grid Architecture,Land Grid Array,D,medium,false,
