category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Television,Urban Meyer left the head coach position at the Utah Utes to become head coach of this team.,Florida St.,Bowling Green,University of Florida,University of Miami,C,medium,false,
Television,"Jack Bauer, Nina Myers and George Mason are three of the characters of this TV series.",24,3 South,60 Minutes,20/20,A,medium,false,
Television,"Harry Solomon, Dick Solomon and Dr. Mary Albright.",Battlestar Galactica,3rd Rock from the Sun,The A-Team,7th Heaven,B,medium,false,
Television,"The annoying neighbours, the Ochmoneks are from this TV show.",Dawsons Creek,ALF,Beverly Hills 90210,All My Children,B,medium,false,
Television,One of these characters is not from Baywatch.,Hobie Buchannon,Jill Riley,Kelly Taylor,Craig Pomeroy,C,medium,false,
Television,Gilbert (Gil) Arthur Grissom is the night shift team supervisor from this TV show.,The City,CSI: Crime Scene Investigation,CSI: New York,CSI: Miami,B,medium,false,
Television,One of these ER characters is not a doctor.,Gregory Pratt,Ray Barnett,Dave Malucci,Samantha Taggart,D,medium,false,
Television,This was one of the best known bosses of Fred Flintstone.,Mr. Jones,Mr. Slate,Mr. Garret,Mr. Smith,B,medium,false,
Television,Julie Cooper and Summer Roberts are two characters from this TV series.,Dawsons Creek,The O.C.,Beverly Hills 90210,One Tree Hill,B,medium,false,
Television,"Charlotte York, Miranda Hobbes and Samantha Jones are female characters from this TV show.",Desperate Housewives,Sex and the City,Gilmore Girls,Smallville,B,medium,false,
Television,Kelly and Bud are the kids of a family depicted in this TV series.,Married... with Children,Happy Family,The Partridge Family,All in the Family,A,medium,false,
Television,What is the name of the episode of SpongeBob SquarePants in which Sponge and friends all had superpowers?,Mermaid Man and Barnicle Boy 3,Fry Cook Games,Mermaid Man and Barnicle Boy 2,Bubblestand,A,medium,false,
Television,Where does SpongeBob SquarePants live in the self-titled series?,In a coconut,In an apple,In a pineapple,In a watermelon,C,medium,false,
Television,"Sandy Cheeks, the popular character from the animated series SpongeBob SquarePants, is from what state?",Alaska,Florida,Texas,Georgia,C,medium,false,
Television,"What is the secret ingredient of The Fake Krabby Patty, a sandwich mentioned in the series SpongeBob SquarePants?",Jellyfish jelly,Extra salt,A cup of love,Four heaping pounds of plankton,D,medium,false,
Television,What was the name of the toy shell SpongeBob and Patrick had with them in the Kelp Woods?,Magic Clam shell,Hermit Crab Shell Toy,Spiral,Magic conch shell,D,medium,false,
Television,Where does the cartoon character SpongeBob work?,Krusty Krab,Chum Bucket,Tuff Tavern,Beach Bums,A,medium,false,
Television,Which character from the animated series SpongeBob SquarePants spoke the words from the sound clip?,Patrick Star,Squidward Tentacles,Mr.Crabs,Gary,B,medium,false,
Television,Which SpongeBob SquarePants character spoke the following words?,Plankton,SpongeBob SquarePants,Gary,Squidward Tentacles,B,medium,false,
Television,Rachel from Friends moves to live with the rest of the friends after escaping her marriage to this man.,Mark,Mike,Frank,Barry,D,medium,false,
Television,Alf from the sitcom series has very few friends outside the Tanners. One of them is the boy that lives with Trevor and Raquel Ochmonek. This is their relation to him.,He is their adopted son.,He is their nephew.,He is their son.,He is their grandchild.,B,medium,false,
Television,Doctor Peter Benton was a fictional medical doctor on the television series ER from season one through season eight. What is characteristic of his son?,He is mentally-challenged.,He is blind.,He is deaf.,He is a girl.,C,medium,false,
Television,Jefferson DArcy is Marcys second husband in Married... with Children. She married him for money.,True,False,,,B,medium,false,
Television,The last episode of Everybody Loves Raymonds ninth season depicts a medical accident that affects this character.,Raymond,Frank,Marie,Debra,A,medium,false,
Television,Rose (Kate Winslet) from Titanic (1997) is this old when the ship sinks.,20,14,23,17,D,medium,false,
Television,Before Neo joins Morpheus and his group (The Matrix) he works as this.,Scientist,Internet broker,Software programmer,He is unemployed,C,medium,false,
Television,Darth Sidious is portrayed in all of these Star Wars movies except this one.,Star Wars Episode I: The Phantom Menace,Star Wars Episode III: Revenge of the Sith,Star Wars Episode II: Attack of the Clones,Star Wars Episode IV: A New Hope,D,medium,false,
Television,"This fictional TV character was Mikes wife, and a mother to Greg, Marcia, Peter, Jan, Bobby and Cindy.",Marian Cunningham,Shirley Partridge,Mary Hartman,Carol Brady,D,medium,false,
Television,"This TV mom, who had a daughter named Gloria, was married to the working class bigot Archie.",Carol Brady,Louise Jefferson,Marcia Brady,Edith Bunker,D,medium,false,
Television,This TV character and her husband Barney had an extremely strong son named Bamm Bamm.,Carly Simon,Wilma Flintstone,Betty Rubble,Morticia Addams,C,medium,false,
Television,"This TV moms son, Little Ricky, learned to sing Babalou like his dad, Ricky.",Ethel Mertz,Mortica Addams,Lucy Ricardo,Marian Cunningham,C,medium,false,
Television,"This TV mom was married to Herman, who caused more trouble than her son Eddie.",Olivia Newton John,Carol Partridge,Mortica Addams,Lily Munster,D,medium,false,
Television,"Which widowed TV mother travelled around in a colorful bus with her children Keith, Laurie, Danny, Christopher and Tracy?",Marian Cunningham,Shirley Partridge,Carol Brady,Mortica Addams,B,medium,false,
Television,This TV personality and her husband Ward were the loving parents of Wally and the Beaver.,Lily Munster,Edith Bunker,Marian Cunningham,June Cleaver,D,medium,false,
Television,"This TV mom and her husband Charles were busy raising Mary, Laura and Carrie in Walnut Grove, Minnesota.",Mortica Addams,Marian Cunningham,June Cleaver,Caroline Ingalls,D,medium,false,
Television,Which TV mom moved to Manhattans Upper East Side with her son Lionel and her husband George?,Edith Bunker,Carol Brady,Anne Jones,Louise Jefferson,D,medium,false,
Television,"Pugsley and Wednesday were the kids of this TV mom and her husband, Gomez.",June Cleaver,Edith Bunker,Betty Rubble,Morticia Addams,D,medium,false,
Television,This red-haired TV character was the wife of Fred and the mother of Pebbles.,Carrie Fisher,Betty Rubble,Wilma Flintstone,June Cleaver,C,medium,false,
Television,"This TV mother divorced her husband and moved back to her hometown of Indianapolis with her two daughters, Julie and Barbara.",Carol Partridge,Ann Romano Royer,June Cleaver,Carrie Fisher,B,medium,false,
Television,"This TV mom and her husband Howard were the parents of Chuck, Richie and Joanie.",Carol Brady,Marion Cunningham,Edith Bunker,Shirley Partridge,B,medium,false,
Television,In The Pilot who is dressed as a bride and becomes a room mate to Monica?,Phoebe,Janice,Chandler,Rachel,D,medium,false,
Television,What was the nickname that never caught on for Ross?,The divorcer,Fossil dude,Rossatron,Rossasaurous,C,medium,false,
Television,"In the episode where everyone is up all night in season 7, why cant Phoebe go to sleep?",The smoke detector keeps beeping,She is drunk in Vegas,She is going into labor,She has to much coffee,A,medium,false,
Television,Who broke Chandlers barcalounger?,Joey,Rachel,Chandler himself,Monica,A,medium,false,
Television,What is Rachels full name?,Rachel Isabella Green,Rachel Karen Green,Rachel Emma Green,Rachel Lisa Green,B,medium,false,
Television,What friend never had a bike as a child?,Phoebe,Monica,Chandler,Joey,A,medium,false,
Television,"In the opening credits/theme song, what is the color of Joeys umbrella?",Green,Black,Blue,Red,C,medium,false,
Television,"What was Rosss son, Bens first word?",Dog,Hi,How you doin?,Ma-ma,B,medium,false,
Television,How many chairs are around Monicas kitchen table?,Five,Three,Four,Six,C,medium,false,
Television,What number wife is Rachel to Ross?,First,Second,Third,They never got married,C,medium,false,
Television,What friend has a fear of dogs?,Joey,Phoebe,Rachel,Chandler,D,medium,false,
Television,How many Emmy Awards has the show Friends won for Outstanding Comedy Series?,2,10,1,None,D,medium,false,
Television,Who does Rachel have a baby with?,Tag,Joey,Chandler,Ross,D,medium,false,
Television,What actress plays Monica Geller?,Kelly Rippa,Jennifer Aniston,Lisa Kudrow,Courteney Cox Arquette,D,medium,false,
Television,What is Joeys favorite food?,Seafood,Lasagna,Pizza,Sandwiches,D,medium,false,
Television,In what area of New York City do the Friends live?,Soho,Tribeca,Greenwich Village,Chelsea,C,medium,false,
Television,How many seasons was Friends on the air for?,10,9,7,8,A,medium,false,
Television,What friends cast member directed some of the episodes?,Matthew Perry,Lisa Kudrow,David Schwimmer,Matt Le Blanc,C,medium,false,
Television,"In Chandlers 50 states game, who forgot 14 of the 50 states?",Monica,Phoebe,Rachel,Ross,A,medium,false,
Television,How many children did Monica and Chandler adopt?,None,Triplets,Twins,One,C,medium,false,
Television,This 80s television show featured a family living in a brownstone in Brooklyn. The father was an obstetrician and the mother was a lawyer.,The Cosby Show,Family Ties,Growing Pains,Too Close For Comfort,A,medium,false,
Television,"This show, set in New York City at the High School For Performing Arts, was about students who wanted to become actors, musicians and dancers.",You Can Do It If You Try,Fame,Talented Kids,Whiz Kids,B,medium,false,
Television,"In this 80s television show, set in Columbus, Ohio, the parents (Steve and Elyse) had 4 children. Steve worked at a television station as a manager and Elyse was an architect.",Family Ties,Family Matters,Family,Family Affair,A,medium,false,
Television,This 80s television series focused on a family that lived in the New York suburbs. The father was a psychiatrist and the mothers name was Maggie. They had 4 children with the oldest being Mike.,Family Ties,Gimme A Break,Diffrent Strokes,Growing Pains,D,medium,false,
Television,"This 80s show, which was a box office smash for Goldie Hawn, tells the story of a New York socialite who decides to tackle the U. S. Army.",Private Benjamin,Attention !!!!,Working Stiffs,Blanskys Girls,A,medium,false,
Television,"This 80s show, that took place in the fictional town of Glen Lawn, California, was about a black housekeeper who took care of three teenage girls, whose father was a police chief.",The Chief,Gimme A Break,Kojak,Just The Ten Of Us,B,medium,false,
Television,"This 80s television series, set in Connecticut, was about a male housekeeper who worked for the president of an advertising agency.",Whos the Boss?,Whos Watching The Kids,I Will Clean Your House,Just the Two Of Us,A,medium,false,
Television,This 80s show was about a probationary angel named Jonathan. His unusual mission on earth was to bring love and understanding into the lives of people who were in trouble.,Amen,Help The People,Highway to Heaven,Wings,C,medium,false,
Television,"What Canadian actor played Dr. Arthur Harmon in sitcom, Maude and than went on to star in Diffrent Strokes?",Conrad Bain,Gordon Jump,Jerry Van Dyke,Danny Thomas,A,medium,false,
Television,"Who played Detective Donahue on TV show, Soap?",John Byner,Sal Viscuso,Robert Mandan,Richard Mulligan,A,medium,false,
Television,What actor played Huggy Bear on the show Starsky and Hutch?,Antonio Fargas,Thalmus Rasulala,Whitman Mayo,Snoop Dog,A,medium,false,
Television,"Who played Charlie Harrison on the sitcom, Fish?",Barry Gordon,Jay North,Johnnie Whitaker,Rusty Hamer,A,medium,false,
Television,"Who played Carrie on 70s TV show, Little House on the Prairie?",Lindsay Sidney Greenbush,Lindsay  Greenbush,All of these,Sidney Greenbush,C,medium,false,
Television,"Who played the role of Chuck on television sitcom, Happy Days?",Don Grady,James Broderick,Gavan O Herlihy,Harold Lipschitz,C,medium,false,
Television,"What actor played Cousin Oliver on ABCs situation comedy, The Brady Bunch?",Harry Hand,Robbie Rist,Michael Gray,Neil J. Schwartz,B,medium,false,
Television,"Who played Keith on 1970s CBS sitcom, Good Times?",Al Jarreau,Ben Powers,Len Powers,Gregory Abbott,B,medium,false,
Television,"Who sang the buoyant theme song for the CBS sitcom, The Jeffersons?",Glodean James,Marla Gibbs,Janet DuBois,Patti Labelle,C,medium,false,
