category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Geology General,Which three groups make up the major rock types?,"Igneous, sedimentary, and metamorphic","Metallic, nonmetallic, and organic","Crystalline, glassy, and clastic","Oceanic, continental, and volcanic",A,easy,false,
Geology General,Which rock type forms when molten material cools and solidifies?,Sedimentary,Metamorphic,Igneous,Evaporite,C,easy,false,
Geology General,Which rock type commonly forms from compacted and cemented sediment?,Sedimentary,Igneous,Metamorphic,Meteoric,A,easy,false,
Geology General,"Which process changes an existing rock through heat, pressure, or chemically active fluids without fully melting it?",Metamorphism,Evaporation,Deposition,Cementation,A,easy,false,
Geology General,What does a mineral streak test observe?,The color of powdered mineral on a streak plate,The direction of magnetic field lines,The age of a crystal,The density of a mineral in water,A,medium,false,
Geology General,What does cleavage describe in mineral identification?,Breaking along flat planes of weakness,The mineral color in hand sample,The weight of a mineral sample,The rock type formed by lava,A,medium,false,
Geology General,What does fracture describe in mineral identification?,Breakage that is not along cleavage planes,The age of a fossil,The reaction of a mineral to acid,Layering in sedimentary rocks,A,medium,false,
Geology General,Which property describes how light reflects from a mineral surface?,Luster,Streak,Specific gravity,Porosity,A,easy,false,
Geology General,Which intrusive igneous texture indicates slow cooling underground?,Coarse-grained crystals,Glassy texture only,Mud cracks,Ripple marks,A,medium,false,
Geology General,Which extrusive texture can result from rapid cooling of lava?,Fine-grained crystals,Large interlocking crystals only,Foliated banding,Rounded pebbles,A,medium,false,
Geology General,What does a vesicular igneous texture indicate?,Gas bubbles were trapped as lava cooled,Sediment was deposited by a river,A rock was deeply buried and foliated,A mineral dissolved in acid,A,medium,false,
Geology General,What does porphyritic texture mean?,Large crystals are embedded in a finer-grained groundmass,A rock is made only of fossils,A mineral has no crystal structure,A rock is composed of rounded pebbles,A,hard,false,
Geology General,What is foliation in metamorphic rocks?,Planar alignment or layering of minerals,Cement between sand grains,A glassy volcanic texture,A chemical formula for quartz,A,medium,false,
Geology General,Which mineral is the main component of most quartz-rich sandstones?,Quartz,Gypsum,Halite,Graphite,A,easy,false,
Geology General,What is the chemical formula of quartz?,SiO2,CaCO3,NaCl,FeS2,A,medium,false,
Geology General,Which test is commonly used to identify calcite in the field?,Weak acid fizz test,Magnet attraction only,UV dating test,Taste test as the primary method,A,easy,false,
Geology General,What principle says younger sedimentary layers are usually deposited on top of older layers?,Superposition,Uniform extinction,Seismic inversion,Crystal twinning,A,easy,false,
Geology General,What principle says a geologic feature that cuts another feature must be younger than the feature it cuts?,Cross-cutting relationships,Original horizontality,Isostatic rebound,Magnetic inclination,A,medium,false,
Geology General,What is an unconformity?,A gap or break in the geologic record,A type of metallic luster,A perfect cubic cleavage pattern,A volcanic gas bubble,A,medium,false,
Geology General,What are index fossils used for?,Correlating and dating rock layers,Measuring mineral hardness,Identifying lava viscosity only,Measuring groundwater flow rate,A,medium,false,
