category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - GitLab,Which file is the default configuration file for GitLab CI/CD pipelines?,.gitlab-ci.yml,gitlab.pipeline.json,.git/hooks/pre-push,Jenkinsfile.gitlab,A,easy,false,
Computer - GitLab,What is a GitLab CI/CD pipeline primarily composed of?,Only issues and labels,Jobs and stages,Only branches and tags,Only users and groups,B,easy,false,
Computer - GitLab,"In GitLab CI/CD, what executes the commands defined in jobs?",GitLab Label,GitLab Epic,GitLab Runner,GitLab Wiki,C,easy,false,
Computer - GitLab,What does a GitLab merge request propose?,Deleting all project issues,Creating a new instance runner,Turning a wiki page into a repository,Merging changes from a source branch into a target branch,D,easy,false,
Computer - GitLab,Which GitLab feature controls who can push to or merge into important branches?,Protected branches,Issue boards,Snippets,Wiki pages,A,medium,false,
Computer - GitLab,What does a CODEOWNERS file define in GitLab?,Pipeline runner machine sizes only,Users or groups responsible for paths in the repository,Container image retention tags only,Default issue descriptions only,B,medium,false,
Computer - GitLab,Which GitLab feature can require one or more reviewers before a merge request is merged?,Job artifacts,Project topics,Merge request approvals,Commit trailers only,C,medium,false,
Computer - GitLab,"Which GitLab planning feature groups issues, epics, and merge requests around a shared goal or timeframe?",Runner tags,Deploy keys,Job traces,Milestones,D,easy,false,
Computer - GitLab,Which GitLab planning feature applies descriptive markers such as priority or severity to issues and merge requests?,Labels,Runners,Artifacts,Forks,A,easy,false,
Computer - GitLab,What does a GitLab issue board provide?,A replacement for Git commits,A visual way to manage issues as cards across workflow lists,A runner authentication token,A hidden CI template,B,medium,false,
Computer - GitLab,Which GitLab work-tracking feature is used for larger initiatives that can contain related issues and other planning items?,Tags,Stashes,Epics,Refs,C,medium,false,
Computer - GitLab,Which GitLab role generally has the most permissions among default roles?,Guest,Reporter,Planner,Owner,D,easy,false,
Computer - GitLab,Which GitLab role is commonly used for users who need to contribute code to a project?,Developer,Guest,Anonymous,Read-only bot,A,easy,false,
Computer - GitLab,What is a GitLab group?,A CI job log,A namespace that can contain projects and often subgroups,A commit object type,A local Git branch pointer,B,easy,false,
Computer - GitLab,What is a fork in GitLab?,A hidden tag in .gitignore,A runner cache directory,A copy of a project under another namespace for independent work,A commit with two parents only,C,medium,false,
Computer - GitLab,Which GitLab CI/CD keyword can define job dependencies so later jobs can start before earlier stages fully finish?,owners,labels,milestones,needs,D,hard,false,
Computer - GitLab,Which GitLab CI/CD keyword is commonly used to include or exclude a job based on conditions?,rules,issues,blame,epics,A,medium,false,
Computer - GitLab,What does workflow: rules control in GitLab CI/CD?,Which user owns a Git tag,Whether a pipeline is created,Whether a wiki is public,Which labels are inherited,B,hard,false,
Computer - GitLab,What is a GitLab job artifact?,A default project role,A branch protection rule,Output files or directories saved from a CI/CD job,A merge request discussion,C,easy,false,
Computer - GitLab,What is the main purpose of a GitLab CI/CD cache?,Replace merge request approvals,Store every commit permanently outside Git,Delete old branches automatically,Reuse dependencies or files between jobs to speed future runs,D,medium,false,
Computer - GitLab,What does a GitLab runner tag help do?,Match jobs to suitable runners,Label issues by severity only,Rename the default branch,Create release notes automatically,A,medium,false,
Computer - GitLab,Which runner scope is available to all projects in a GitLab instance?,Project runner only,Instance runner,Personal runner,Issue runner,B,medium,false,
Computer - GitLab,Which runner scope is associated with one specific project?,Milestone runner,Epic runner,Project runner,Global branch runner,C,easy,false,
Computer - GitLab,What type of GitLab pipeline is designed to run specifically for merge requests?,Wiki pipeline,Label pipeline,Snippet pipeline,Merge request pipeline,D,medium,false,
Computer - GitLab,What does a merged results pipeline test?,The result of combining the source branch with the target branch,Only the last successful deployment tag,Only wiki Markdown formatting,Only the issue board configuration,A,hard,false,
Computer - GitLab,Which GitLab CI/CD feature runs a pipeline at a configured time without requiring a new push?,Protected tag,Pipeline schedule,Issue weight,Code owner section,B,medium,false,
Computer - GitLab,Which GitLab CI/CD job type requires a person to click play or otherwise trigger it?,Hidden job,Artifact job,Manual job,Remote branch,C,easy,false,
Computer - GitLab,Which job setting can allow a failed job to not fail the entire pipeline?,require_owner,delete_source_branch,protect_wiki,allow_failure,D,medium,false,
Computer - GitLab,What are masked CI/CD variables intended to do?,Hide sensitive variable values from job logs when possible,Turn variables into branch names,Create a protected branch automatically,Disable all job artifacts,A,medium,false,
Computer - GitLab,What are protected CI/CD variables normally associated with?,All untracked files,Protected branches or protected tags,Only public snippets,Only deleted projects,B,medium,false,
Computer - GitLab,"Which GitLab feature tracks where code is deployed, such as staging or production?",Labels,Forks,Environments,Submodules,C,medium,false,
Computer - GitLab,Which GitLab feature stores container images for a project or group?,Issue board,Milestone,Wiki sidebar,Container registry,D,easy,false,
Computer - GitLab,"Which GitLab feature stores language or ecosystem packages such as npm, Maven, or PyPI packages?",Package registry,Commit graph,Epic board,SSH known hosts,A,medium,false,
Computer - GitLab,Which GitLab feature can publish a static website from a repository?,GitLab Blame,GitLab Pages,GitLab Rerere,GitLab Stash,B,medium,false,
Computer - GitLab,Which GitLab feature is meant for project documentation pages inside GitLab?,Runner token,Job cache,Wiki,Reflog,C,easy,false,
Computer - GitLab,Which GitLab feature is used for sharing small pieces of code or text?,Stages,Protected variables,Merge trains,Snippets,D,easy,false,
Computer - GitLab,What do GitLab webhooks do?,Send event notifications to external URLs,Compress Git objects in a local clone,Create annotated tags by default,Rewrite every merge request title,A,medium,false,
Computer - GitLab,What is glab?,A Git object database file,GitLab's command-line interface,A required branch name,A CI job artifact format,B,medium,false,
Computer - GitLab,Which GitLab feature can combine multiple merge requests in order to test them before merging?,Issue weights,Project topics,Merge trains,Personal snippets,C,hard,false,
Computer - GitLab,Which GitLab feature can combine multiple CI/CD YAML files into one pipeline configuration?,owner,issue_type,protected_by,include,D,hard,false,
Computer - GitLab,"In GitLab CI/CD, what does before_script define?",Commands that run before each job script where applied,The branch that must merge first,The owner of every artifact,The exact issue closing date,A,medium,false,
Computer - GitLab,"In GitLab CI/CD, what does after_script define?",A list of project members,Commands that run after the main job script where applied,The next milestone title,A branch naming rule,B,medium,false,
Computer - GitLab,What is a hidden job in GitLab CI/CD YAML commonly used for?,A job that runs before every pipeline exists,A job that deletes project members,A reusable template that is not processed as a normal job,A job that creates a Git submodule automatically,C,hard,false,
Computer - GitLab,Which GitLab CI/CD keyword can set default job keyword values for jobs in a pipeline?,baseline,global_role,project_owner,default,D,medium,false,
Computer - GitLab,What does the GitLab job log show?,The execution history and output of a CI/CD job,Only project labels,Only merge request approvers,Only wiki edit history,A,easy,false,
Computer - GitLab,What is the GitLab CI/CD job token used for?,A permanent replacement for every user password,Temporary authentication from a running CI/CD job to allowed GitLab resources,A file that stores issue board columns,A branch name reserved for release tags,B,hard,false,
Computer - GitLab,Which GitLab feature can automatically close referenced issues when a merge request is merged if closing keywords are used?,Runner tags,Job caches,Issue closing patterns in merge requests,Project avatars,C,medium,false,
Computer - GitLab,Which GitLab setting can delete a merge request source branch after the merge completes?,Expire artifact branch,Close runner branch,Protect labels,Delete source branch,D,medium,false,
Computer - GitLab,Which GitLab feature can require approvals from owners of changed files?,Code Owner approvals,Runner artifact approvals,Wiki owner locks,Commit hash approvals only,A,hard,false,
Computer - GitLab,"Which GitLab feature is used to make repository branches safer by controlling deletion, force push, push, and merge access?",Job artifacts,Protected branch rules,Snippets,Pipeline schedules,B,medium,false,
Computer - GitLab,GitLab CI/CD pipelines are configured by default in a .gitlab-ci.yml file.,True,False,,,A,easy,false,
