category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Geology Mohs Hardness,Choose the correct hardness: the pictured Quartz is about 7 on the Mohs hardness scale.,True,False,,,A,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Quartz_Br%C3%A9sil.jpg/330px-Quartz_Br%C3%A9sil.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Quartz is about 5 on the Mohs hardness scale.,True,False,,,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Quartz_Br%C3%A9sil.jpg/330px-Quartz_Br%C3%A9sil.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Quartz is about 2-2.5 on the Mohs hardness scale.,True,False,,,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Quartz_Br%C3%A9sil.jpg/330px-Quartz_Br%C3%A9sil.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Amethyst is about 7 on the Mohs hardness scale.,True,False,,,A,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amatista_Laye_2.jpg/330px-Amatista_Laye_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Amethyst is about 3 on the Mohs hardness scale.,True,False,,,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amatista_Laye_2.jpg/330px-Amatista_Laye_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Amethyst is about 2.5-2.75 on the Mohs hardness scale.,True,False,,,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amatista_Laye_2.jpg/330px-Amatista_Laye_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Agate is about 6.5-7 on the Mohs hardness scale.,True,False,,,A,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg/330px-Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Agate is about 5.5-6.5 on the Mohs hardness scale.,True,False,,,B,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg/330px-Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Agate is about 9 on the Mohs hardness scale.,True,False,,,B,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg/330px-Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Mohs Hardness,Choose the correct hardness: the pictured Amazonite is about 6-6.5 on the Mohs hardness scale.,True,False,,,A,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Amazonita1.jpeg/330px-Amazonita1.jpeg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
