category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Humanities,Which vegetables are considered taboo food in Buddhist tradition?,All legumes,Garlic and onion,Eggplants and tomatoes,Cabbage and lettuce,B,medium,false,
Humanities,"Is this the correct usage of the word inferring? By saying that I look good today, are you inferring that I did not look good yesterday?",No,Yes,,,A,medium,false,
Humanities,Is this the correct usage of the word continually? Professor Smith gave a speech yesterday. He spoke continually for 3 hours.,No,Yes,,,A,medium,false,
Humanities,Which of these sentences is correct?,"From hence to eternity, I will search.",Whence did he come?,From whence did he come?,"If you build it, thence he will come.",B,medium,false,
Humanities,Which of these is correct?,The capitol building is located in the capitol.,The capital building is located in the capital.,The capitol building is located in the capital.,The capital building is located in the capitol.,C,medium,false,
Humanities,"In the following sentence, which word is incorrect? The schools unprincipled principal understands the principle of the argument.",principal,unprincipled,principle,None of the words is incorrect; the sentence is correct as is.,D,medium,false,
Humanities,Which of the following is NOT a synonym of the word reticent?,These are all synonyms of the word reticent.,Restrained,Silent,Reluctant,A,medium,false,
Humanities,Which of the following is incorrect?,The class comprised 30 people.,Thirty people comprised the class.,These are all correct usages of the word comprised.,The class was comprised of 30 people.,C,medium,false,
Humanities,Which of these is incorrect?,He woke up at six.,All of these sentences are correct.,He awoke at six.,He awakened at six.,B,medium,false,
Humanities,Which of these sentences means I love you in Spanish?,Te amo.,Kocham cie.,Mi amas vin.,Ti amo.,A,medium,false,
Humanities,Rakastan sinua is one of the ways to say I love you in which European language?,Bulgarian,French,Finnish,German,C,medium,false,
Humanities,Which expression would you use to say I love you in Danish?,Jeg elsker dig.,Volim te.,I love thee.,Je taime.,A,medium,false,
Humanities,In what European language does Je taime mean I love you?,Swedish,Italian,German,French,D,medium,false,
Humanities,Which of the following sentences means I love you in German?,Ich liebe Dich.,Te amo.,Volim te.,Je taime.,A,medium,false,
Humanities,Volim te means I love you in three of these European languages. Which is the odd one?,Croatian,Bosnian,Italian,Serbian,C,medium,false,
Humanities,What is the Swahili expression for I love you?,Te quiero,Nakupenda,Ti amo,Je taime,B,medium,false,
Humanities,In which Turkic language does Seni seviyorum mean I love you?,Navajo,Hebrew,Icelandic,Turkish,D,medium,false,
Humanities,"Name this artificially-constructed international language, in which Mi amas vin means I love you.",Thai,Navajo,Spanish,Esperanto,D,medium,false,
Humanities,Which of these sentences means I love you in Dutch?,Ti amo.,Ik hou van jou.,Ne mohotatse.,Ich liebe Dich.,B,medium,false,
Humanities,"The implement, used to extinguish the flame of a candle, is called this.",Candleberry,Candleholder,Candlestick,Candlesnuffer,D,medium,false,
Humanities,"When something contains or yields an acid, it is this.",Acidiferous,Acidophilous,Acidimetric,Acidifiable,A,medium,false,
Humanities,"The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.",Biomedicine,Bipartisanism,Biosystematy,Biotelemetry,D,medium,false,
Humanities,Enterokinase is this.,Disease,Medical condition,Enzyme,Hormone,C,medium,false,
Humanities,Copious perspiration is known as this.,Diaphoresis,Deuterogamy,Detumescence,Diabolisation,A,medium,false,
