category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the Argo CD custom resource that defines a desired application source and destination.,Sync wave,Tracking label,Application,Kubernetes Service,C,easy,false,
Computer - ArgoCD v2,"Which ArgoCD concept best matches this description: a boundary for which repositories, destinations, resource kinds, and roles an application can use.",AppProject,Orphaned resources,Resource tracking,ApplyOutOfSyncOnly,A,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the operation that applies desired manifests to the target Kubernetes cluster.,Sync,Orphaned resources,Git generator,Traefik Router,A,easy,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the status used when the live state differs from the desired state in Git.,SkipDryRunOnMissingResource,ApplyOutOfSyncOnly,OutOfSync,Automated sync,C,easy,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the health status indicating Kubernetes resources are operating as expected from Argo CD analysis.,AppProject,Healthy,Directory source,Sync wave,B,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a policy that applies desired state changes when Argo CD detects drift from Git.,SyncFail hook,Orphaned resources,Automated sync,Merge generator,C,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the behavior that removes live resources no longer present in the desired manifests.,SyncFail hook,AppProject,Prune,Tracking label,C,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an automated sync behavior that corrects drift caused by manual changes in the cluster.,Helm source,Self-heal,Healthy,Redis,B,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an automated sync safety setting that permits syncing an application to zero resources.,Sync window,List generator,Selective sync,allowEmpty,D,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a hook phase that runs before normal manifest application.,Sync window,PreSync hook,Cluster generator,Multiple sources,B,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a hook phase that runs after resources are synced and healthy.,Matrix generator,PostSync hook,ignoreDifferences,Self-heal,B,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a hook phase that runs when a sync operation fails.,SkipDryRunOnMissingResource,Kustomize source,Replace,SyncFail hook,D,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an integer annotation that controls resource application order within sync phases.,Application controller,Kustomize source,Sync wave,Kubernetes Service,C,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a controller and CRD used to generate multiple Argo CD Applications from templates and generators.,ApplicationSet,AppProject,Kubernetes Service,Kong Consumer,A,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an ApplicationSet generator that produces applications from a static list of elements.,Prune,List generator,Repository server,Application,B,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an ApplicationSet generator that derives applications from files or directories in a Git repository.,Sync,Resource tracking,Self-heal,Git generator,D,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an ApplicationSet generator that creates applications based on clusters known to Argo CD.,Cluster generator,Merge generator,PreSync hook,Tracking label,A,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an ApplicationSet generator that combines parameters from two generators.,allowEmpty,Matrix generator,Git generator,Orphaned resources,B,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an ApplicationSet generator that merges parameter sets from multiple generators.,Merge generator,Application,Kong Consumer,Sync wave,A,hard,false,
Computer - ArgoCD v2,"Which ArgoCD concept best matches this description: the Argo CD component that generates manifests from Git sources such as Helm, Kustomize, and Jsonnet.",ServerSideApply,Sync window,Repository server,Helm source,C,medium,false,https://argo-cd.readthedocs.io/en/stable/assets/argocd_architecture.png
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the Argo CD component that monitors applications and drives reconciliation.,Application controller,ApplyOutOfSyncOnly,SyncFail hook,API server,A,medium,false,https://argo-cd.readthedocs.io/en/stable/assets/argocd_architecture.png
Computer - ArgoCD v2,"Which ArgoCD concept best matches this description: the Argo CD component that serves the UI, CLI, and API requests.",Helm source,Docker image,API server,ApplicationSet,C,medium,false,https://argo-cd.readthedocs.io/en/stable/assets/argocd_architecture.png
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the optional identity service Argo CD uses for SSO integrations.,Automated sync,PreSync hook,Dex,Multiple sources,C,medium,false,https://argo-cd.readthedocs.io/en/stable/assets/argocd_architecture.png
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a cache and state component used by Argo CD for performance and coordination.,AppProject,Redis,SkipDryRunOnMissingResource,Sync window,B,medium,false,https://argo-cd.readthedocs.io/en/stable/assets/argocd_architecture.png
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a Kubernetes manifest annotated so Argo CD treats it as part of the sync lifecycle.,Resource tracking,API server,Resource hook,OutOfSync,C,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an annotation controlling when hook resources are cleaned up.,SkipDryRunOnMissingResource,Cluster generator,Matrix generator,Hook delete policy,D,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a sync mode that targets only selected resources instead of the whole application.,Self-heal,API server,PreSync hook,Selective sync,D,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a sync option that applies only resources that are currently out of sync.,ApplyOutOfSyncOnly,Merge generator,Application controller,Directory source,A,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a sync option that uses Kubernetes server-side apply semantics.,SkipDryRunOnMissingResource,Directory source,Application controller,ServerSideApply,D,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a sync option that uses kubectl replace or create rather than apply.,Automated sync,Replace,ignoreDifferences,Repository server,B,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a sync option useful when a resource type may not exist until a CRD is installed.,Healthy,Tracking label,Resource hook,SkipDryRunOnMissingResource,D,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: configuration that instructs Argo CD to ignore specified differences during comparison.,ignoreDifferences,Directory source,ServerSideApply,AppProject,A,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: cluster resources that are not tracked by any application in a project.,OutOfSync,Traefik Router,Orphaned resources,Docker image,C,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a project setting that allows or denies sync operations during specified time windows.,Sync window,PreSync hook,Kong Consumer,Redis,A,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: the mechanism Argo CD uses to associate live resources with an Application.,PostSync hook,Application,Prune,Resource tracking,D,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: a label-based resource tracking strategy historically used by Argo CD.,Orphaned resources,Resource hook,Tracking label,Traefik Router,C,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an application capability that combines manifests from more than one source.,Tracking label,PostSync hook,API server,Multiple sources,D,hard,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an application source that renders a Helm chart into Kubernetes manifests.,Self-heal,Prune,Matrix generator,Helm source,D,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an application source that builds manifests using Kustomize overlays.,Kustomize source,Orphaned resources,Healthy,Directory source,A,medium,false,
Computer - ArgoCD v2,Which ArgoCD concept best matches this description: an application source that reads plain YAML or JSON manifests from a directory.,Multiple sources,Docker image,AppProject,Directory source,D,medium,false,
