category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Geography,What is the capital of Afghanistan?,Tirana,Kabul,Dushanbe,Tashkent,B,medium,false,
Geography,What is the capital of Australia?,Canberra,Sydney,Melbourne,Ottawa,A,medium,false,
Geography,What is the capital of Belgium?,Amsterdam,Luxemburg,Brussels,Stockholm,C,medium,false,
Geography,What is the capital of Greece?,Ankara,Athens,Sofia,Thessaloniki,B,medium,false,
Geography,What is the capital of Italy?,Venice,Rome,Naples,Milan,B,medium,false,
Geography,What is the capital of Israel?,Tel Aviv,Kabul,Jerusalem,Islamabad,C,medium,false,
Geography,What is the capital of Germany?,Frankfurt,Berlin,Munich,Hamburg,B,medium,false,
Geography,What is the capital of Norway?,Stockholm,Helsinki,Oslo,Copenhagen,C,medium,false,
Geography,"What is the capital and largest city of Hawaii, the 50th US state?",Little Rock,Dover,Frankfort,Honolulu,D,medium,false,
Geography,"When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?",Ural,Volga,Ob,Lena,C,medium,false,
Geography,"Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.",Nevado Mismi,Misti,Cotopaxi,Mount Chimborazo,A,medium,false,
Geography,"This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?",Irtysh,Huai River,Yangtze,Mekong,C,medium,false,
Geography,"Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?",Brown,Orange,Yellow,Red,C,medium,false,
Geography,"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?",Lake Superior,Lake Pepin,Lake Itasca,Cass Lake,C,medium,false,
