category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G001.",Azurite,Quartz,Topaz,Ruby,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Quartz_Br%C3%A9sil.jpg/330px-Quartz_Br%C3%A9sil.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G002.",Onyx,Amethyst,Chrysoberyl,Jasper,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amatista_Laye_2.jpg/330px-Amatista_Laye_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G003.",Sunstone,Galena,Jade,Agate,D,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg/330px-Malawi_Agate_%28Malawi%2C_southeastern_Africa%29_%2832734668126%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G004.",Iolite (cordierite),Turquoise,Amazonite,Peridot,C,medium,false,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Amazonita1.jpeg/330px-Amazonita1.jpeg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G005.",Epidote,Diamond,Jade,Garnet,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Rough_Diamond.jpg/330px-Rough_Diamond.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G006.",Ruby,Aventurine,Zircon,Opal,A,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Corundum-215330.jpg/330px-Corundum-215330.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G007.",Chalcedony,Spodumene,Sapphire,Pyrite,C,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Logan_Sapphire_10956420_cropped.png/330px-Logan_Sapphire_10956420_cropped.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G008.",Biotite,Emerald,Sunstone,Iolite (cordierite),B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/B%C3%A9ryl_var._%C3%A9meraude_sur_gangue_%28Muzo_Mine_Boyaca_-_Colombie%29_2.jpg/330px-B%C3%A9ryl_var._%C3%A9meraude_sur_gangue_%28Muzo_Mine_Boyaca_-_Colombie%29_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G009.",Apatite,Topaz,Beryl,Quartz,B,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Topaze%2C_quartz_fum%C3%A9_1.jpg/330px-Topaze%2C_quartz_fum%C3%A9_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Geology Identification - Stones & Gems,"Identify the stone, gem, or mineral shown in specimen image G010.",Galena,Diamond,Opal,Rose quartz,C,easy,false,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Opal-53714.jpg/330px-Opal-53714.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
