category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - Git Source Control,Which Git command initializes a new local repository in the current directory?,git init,git clone,git add,git status,A,easy,false,
Computer - Git Source Control,Which Git command copies an existing repository into a new local directory?,git init,git clone,git branch,git merge,B,easy,false,
Computer - Git Source Control,Which Git command stages file content for the next commit?,git commit,git push,git add,git fetch,C,easy,false,
Computer - Git Source Control,Which Git command records staged changes as a new commit?,git status,git diff,git restore,git commit,D,easy,false,
Computer - Git Source Control,Which Git command shows the current working tree and staging-area state?,git status,git show,git tag,git blame,A,easy,false,
Computer - Git Source Control,Which Git command shows unstaged changes by default?,git log,git diff,git commit,git remote,B,easy,false,
Computer - Git Source Control,Which Git command shows changes that are staged for commit?,git diff --cached --name-only --all,git status --ignored,git diff --staged,git push --dry-run,C,medium,false,
Computer - Git Source Control,Which Git command displays commit history for the current branch?,git init,git rm,git clean,git log,D,easy,false,
Computer - Git Source Control,Which Git command displays a commit plus the changes introduced by it?,git show <commit>,git branch <commit>,git pull <commit>,git mv <commit>,A,medium,false,
Computer - Git Source Control,Which Git command annotates each line of a file with commit and author information?,git fetch <file>,git blame <file>,git tag <file>,git bisect <file>,B,medium,false,
Computer - Git Source Control,Which Git command creates a new branch and switches to it using the newer switch syntax?,git branch -d <branch>,git remote add <branch>,git switch -c <branch>,git reset --hard <branch>,C,easy,false,
Computer - Git Source Control,Which Git command switches to an existing branch using the newer branch-switching command?,git init <branch>,git log <branch>,git rm <branch>,git switch <branch>,D,easy,false,
Computer - Git Source Control,Which Git command lists local branches?,git branch,git remote,git reflog expire,git archive,A,easy,false,
Computer - Git Source Control,Which Git command deletes a local branch only if Git considers it safely merged?,git branch -D <branch>,git branch -d <branch>,git push --delete <branch>,git reset --hard <branch>,B,medium,false,
Computer - Git Source Control,Which Git command force-deletes a local branch even if it is not merged?,git branch -m <branch>,git checkout -- <branch>,git branch -D <branch>,git fetch --tags <branch>,C,medium,false,
Computer - Git Source Control,Which Git command adds a remote named origin?,git init origin <url>,git clone origin <url>,git push -u origin <url>,git remote add origin <url>,D,easy,false,
Computer - Git Source Control,Which Git command lists configured remotes and their fetch/push URLs?,git remote -v,git branch -vv,git log --remote,git status --urls,A,easy,false,
Computer - Git Source Control,Which Git command downloads objects and refs from a remote without directly merging into the current branch?,git pull,git fetch,git push,git commit,B,easy,false,
Computer - Git Source Control,Which Git command fetches from a remote and then integrates the upstream changes into the current branch?,git clone,git tag,git pull,git clean,C,easy,false,
Computer - Git Source Control,Which Git command pushes the local main branch to the origin remote?,git fetch origin main,git pull origin main,git remote add main origin,git push origin main,D,easy,false,
Computer - Git Source Control,Which Git command pushes a new local branch and sets its upstream tracking branch?,git push -u origin <branch>,git pull -u origin <branch>,git branch -u origin,git remote -u <branch>,A,medium,false,
Computer - Git Source Control,Which Git command applies the changes from one existing commit onto the current branch?,git bisect <commit>,git cherry-pick <commit>,git archive <commit>,git clean <commit>,B,medium,false,
Computer - Git Source Control,Which Git command temporarily shelves uncommitted changes?,git commit --amend,git branch --merged,git stash push,git fetch --all,C,easy,false,
Computer - Git Source Control,Which Git command reapplies the most recent stash and removes it from the stash list when successful?,git stash apply --keep,git stash list --drop,git stash branch --pop,git stash pop,D,medium,false,
Computer - Git Source Control,Which Git command lists saved stashes?,git stash list,git stash show --all --format,git stash status,git reflog stash --index,A,easy,false,
Computer - Git Source Control,Which Git command creates a lightweight tag named v1.0 at the current commit?,git branch v1.0,git tag v1.0,git commit v1.0,git remote v1.0,B,easy,false,
Computer - Git Source Control,Which Git command creates an annotated tag with a message?,"git tag --lightweight v1.0 -m ""release""","git commit -t v1.0 -m ""release""","git tag -a v1.0 -m ""release v1.0""","git branch -a v1.0 -m ""release""",C,medium,false,
Computer - Git Source Control,Which Git command pushes tags to a remote?,git fetch --tags --push,git tag --remote,git remote --tags,git push --tags,D,medium,false,
Computer - Git Source Control,"Which Git command removes untracked files, using force as normally required by Git?",git clean -f,git reset --soft,git restore --staged,git branch -d,A,medium,false,
Computer - Git Source Control,Which Git command restores a tracked file in the working tree from the index or a commit?,git add <file>,git restore <file>,git clone <file>,git push <file>,B,easy,false,
Computer - Git Source Control,Which Git command unstages a file using the modern restore syntax?,git restore <file>,git clean -f <file>,git restore --staged <file>,git commit --amend <file>,C,medium,false,
Computer - Git Source Control,Which Git command creates a new commit that reverses changes from an earlier commit?,git reset --hard <commit>,git clean <commit>,git branch -D <commit>,git revert <commit>,D,medium,false,
Computer - Git Source Control,"Which Git command can move HEAD and, depending on mode, update the index and working tree?",git reset,git revert,git blame,git fetch,A,medium,false,
Computer - Git Source Control,Which Git command replays commits from one branch onto another base?,git merge --no-ff,git rebase,git remote prune,git add --patch,B,medium,false,
Computer - Git Source Control,Which Git command combines another branch into the current branch?,git branch <branch>,git restore <branch>,git merge <branch>,git gc <branch>,C,easy,false,
Computer - Git Source Control,Which Git command uses binary search to find the commit that introduced a bug?,git blame,git grep,git cherry-pick,git bisect,D,medium,false,
Computer - Git Source Control,Which Git command shows the local history of where HEAD and branch references have pointed?,git reflog,git log --remote-only,git show-ref --tags,git remote show,A,medium,false,
Computer - Git Source Control,Which Git command creates an additional linked working tree for a repository?,git clone --mirror <path> <branch>,git worktree add <path> <branch>,git remote add <path> <branch>,git archive <path> <branch>,B,hard,false,
Computer - Git Source Control,Which Git command initializes and checks out submodules after cloning a repository?,git submodule clone --all,git checkout --submodules,git submodule update --init --recursive,git fetch --recursive-only,C,hard,false,
Computer - Git Source Control,Which Git command runs housekeeping to optimize the local repository database?,git grep,git mv,git shortlog,git gc,D,hard,false,
Computer - Git Source Control,Which Git command checks connectivity and validity of objects in the repository?,git fsck,git clean,git cat-file -t,git diff --check,A,hard,false,
Computer - Git Source Control,Which Git command creates an archive such as a tar or zip from repository contents?,git bundle,git archive,git clone --bare,git pack-refs,B,hard,false,
Computer - Git Source Control,Which Git command packages objects and references into a single file for transfer?,git stash,git describe,git bundle,git merge-file,C,hard,false,
Computer - Git Source Control,Which Git command moves or renames a tracked file and stages the rename?,mv <old> <new> only,git rename <old> <new>,git branch -m <old> <new>,git mv <old> <new>,D,easy,false,
Computer - Git Source Control,Which Git command removes a file from the working tree and stages the deletion?,git rm <file>,git clean --cached <file>,git restore --staged <file>,git branch --delete <file>,A,easy,false,
Computer - Git Source Control,Which Git command stops tracking a file but leaves the file in the working directory?,git clean -f <file>,git rm --cached <file>,git reset --hard <file>,git restore --worktree <file>,B,medium,false,
Computer - Git Source Control,Which Git command sets a global user email address?,"git user --global email ""name@example.com""","git remote --global email ""name@example.com""","git config --global user.email ""name@example.com""","git commit --global email ""name@example.com""",C,easy,false,
Computer - Git Source Control,Which Git command fetches from a remote and prunes stale remote-tracking references?,git pull --delete,git branch --prune,git clean --remote,git fetch --prune,D,medium,false,
Computer - Git Source Control,Which Git command fetches and rebases the current branch instead of merging?,git pull --rebase,git push --rebase,git merge --rebase,git fetch --merge,A,medium,false,
Computer - Git Source Control,Which Git command modifies the most recent commit instead of creating an additional commit?,git commit --append,git commit --amend,git rebase --latest,git reset --message,B,medium,false,
Computer - Git Source Control,Which Git command starts an interactive rebase for the last three commits?,git merge -i HEAD~3,git reset -i HEAD~3,git rebase -i HEAD~3,git log -i HEAD~3,C,hard,false,
