category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Music,"The controversial lyrics of this song by The Rolling Stones include, Its Down to me, the way she talks when shes spoken to",Heart of Stone,Under My Thumb,Play With Fire,Its All Over Now,B,medium,false,
Music,"Mick Jagger sings Baby, baby, theres fever in the funk house now on this song.",Tumbling Dice,Gimme Shelter,Street Fighting Man,Jumpin Jack Flash,A,medium,false,
Music,Lose Your Dreams and you will lose your mind are lyrics from this 1967 hit by The Rolling Stones.,As Tears Go By,(I Cant Get No) Satisfaction,Shes A Rainbow,Ruby Tuesday,D,medium,false,
Music,"Part of this song by The Rolling Stones goes, We decided that we would have a soda - my favorite flavor, cherry red?",Jumpin Jack Flash,Hot Stuff,Mothers Little Helper,You Cant Always Get What You Want,D,medium,false,
Music,"The lyrics of this song by the Rolling Stones include the phrase Rape, murder!",Sympathy for the Devil,Street Fighting Man,Harlem Shuffle,Gimme Shelter,D,medium,false,
Music,"Jon Bon Jovi, Richie Sambora, Alex John Such, Tico Torres, Dave Bryan",Bon Jovi,Whitesnake,Cinderella,Def Leppard,A,medium,false,
Music,"Don Dokken, George Lynch, Jeff Pilson, Mick Brown",L. A. Guns,Guns N Roses,Faster Pussycat,Dokken,D,medium,false,
Music,"Bret Michaels, Bobby Dall, Rikki Rockett, C.C DeVille",Cinderella,Poison,New York Dolls,Motley Crue,B,medium,false,
Music,"Fred Coury, Tom Keifer, Eric Brittingham, Jeff LaBar",Great White,Cinderella,Ratt,Whitesnake,B,medium,false,
Music,"David Coverdale, Rudy Sarzo, Tommy Aldridge, Steve Vai",Great White,Poison,Tesla,Whitesnake,D,medium,false,
Music,"Dave The Snake Sabo, Rachel Bolan, Sebastian Bach, Rob Affuso, Scott Hill",Bon Jovi,W.A.S.P,Motley Crue,Skid Row,D,medium,false,
Music,"Tommy Lee, Vince Neil, Nikki Sixx, Mick Mars",Poison,Great White,Whitesnake,Motley Crue,D,medium,false,
Music,"Audie Desbrow, Jack Russell, Michael Lardie, Tony Montana, Mark Kendall",Motley Crue,Poison,Great White,Whitesnake,C,medium,false,
Music,"Troy Luccketta, Brian Wheat, Frank Hannon, Tommy Skeoch, Jeff Keith",Metallica,Iron Maiden,Tesla,Twisted Sister,C,medium,false,
Music,"James Hetfield, Lars Ulrich, Kirk Hammett, Jason Newsted",Metallica,Metal Church,Twisted Sister,Testament,A,medium,false,
Music,Every breath you take Every move you make Every bond you break Every ...,cake you bake,time you shake,step you make,step you take,D,medium,false,
Music,Well I guess it would be nice If I could touch your body I know not everybody ...,Does the dishes like you,Has got a body like you,Has such a body,Has it like you,B,medium,false,
Music,Everybodys talking all this stuff about me Why dont they just let me live (Tell me why) I dont need permission ...,Dont you know my precision oh,Make my own decisions oh,Ready for collision oh,This really is my vision oh,B,medium,false,
Music,"If I fail, if I succeed At least Ill live as I believe No matter what they take from me ...",They cant take away my beat,They cant make me lose my dignity,I will still be,They cant take away my dignity,D,medium,false,
Music,Sleight of hand and twist of fate On a bed of nails she makes me wait And I wait without you With or without you With or without you Through the storm we reach the shore You give it all ...,and i feel sure,and then some more,but im not sure,but i want more,D,medium,false,
Music,That its only the thrill Of boy meeting girl Opposites attract Its physical Only ...,possible,biological,logical,physical,C,medium,false,
Music,I have seen the writing on the wall. Dont think I need anything at all. No! dont think Ill need anything at all. All in all it was all just ...,tracks in the snow,bricks in the wall,flies on the wall,blocks in the wall,B,medium,false,
Music,"Gonna give you all my love, boy My fear is fading fast Been saving it all for you cause ...",youre my last,it is all past,only love can last,a spell was cast,C,medium,false,
Music,"And shell tease you Shell unease you All the better just to please ya Shes precocious, and she knows just What it takes to ...",make you crash,make a pro blush,make you rush,win your trust,B,medium,false,
Music,"Burning the ground I break from the crowd Im on the hunt Im after you I smell like I sound, ...",because Im a hound,I feel that you are around,my heart was just found,Im lost and Im found,D,medium,false,
Music,This was the first digitally recorded track to become a hit in 1980.,Dirk Wears White Soxs,Mirror in the Bathroom,We Dont Talk anymore,Zenyatta Mondatta,B,medium,false,
