category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - Kong,"Which Kong concept best matches this description: a reverse proxy/API gateway used to manage, configure, and route API requests.",SNI entity,Consumer,Global plugin,Kong Gateway,D,easy,false,https://developer.konghq.com/assets/images/gateway/kong-gateway-overview-light.svg
Computer - Kong,Which Kong concept best matches this description: the entity representing an upstream application or API in Kong Gateway.,Gateway Service,Certificate entity,Proxy listener,SNI entity,A,easy,false,https://developer.konghq.com/assets/images/gateway/kong-gateway-overview-light.svg
Computer - Kong,Which Kong concept best matches this description: the entity that matches client requests and sends them to a Gateway Service.,Hybrid mode,CORS plugin,Control Plane,Route,D,easy,false,https://developer.konghq.com/assets/images/gateway/kong-gateway-overview-light.svg
Computer - Kong,Which Kong concept best matches this description: the entity representing a client or user of APIs proxied by Kong Gateway.,Kong Ingress Controller,Basic Authentication plugin,Consumer,Docker Compose,C,easy,false,
Computer - Kong,"Which Kong concept best matches this description: a module that extends Kong Gateway behavior such as authentication, rate limiting, or transformation.",Plugin,Vault,Gateway Service,Basic Authentication plugin,A,easy,false,
Computer - Kong,Which Kong concept best matches this description: a virtual hostname and collection of targets used for load balancing.,Traditional mode,Circuit breaker,Rate Limiting plugin,Upstream,D,medium,false,
Computer - Kong,Which Kong concept best matches this description: an individual upstream service instance identified by host/IP and port.,Docker Compose,Target,strip_path,Health checks,B,medium,false,
Computer - Kong,Which Kong concept best matches this description: the API used to configure and manage Kong Gateway entities.,Upstream,Admin API,Consumer Group,Global plugin,B,medium,false,
Computer - Kong,Which Kong concept best matches this description: the interface and port where Kong receives client traffic for proxied APIs.,Consumer Group,Request Transformer plugin,Key Authentication plugin,Proxy listener,D,medium,false,
Computer - Kong,Which Kong concept best matches this description: the Kong component or Konnect role that manages configuration and distributes it to data planes.,ACL plugin,Consumer Group,Admin API,Control Plane,D,medium,false,https://developer.konghq.com/assets/images/gateway-manager/konnect-control-plane-dashboard.png
Computer - Kong,Which Kong concept best matches this description: the Kong runtime nodes that proxy traffic using configuration from a control plane.,preserve_host,ACL plugin,Data Plane,Traditional mode,C,medium,false,https://developer.konghq.com/assets/images/gateway/kong-gateway-overview-light.svg
Computer - Kong,Which Kong concept best matches this description: a deployment mode separating control plane configuration from data plane traffic proxying.,Argo CD Application,Hybrid mode,SNI entity,Vault,B,medium,false,
Computer - Kong,Which Kong concept best matches this description: a Kong mode that loads declarative configuration without using a database for runtime config storage.,DB-less mode,SNI entity,Proxy listener,Admin API,A,medium,false,
Computer - Kong,Which Kong concept best matches this description: a Kong deployment mode where each Gateway node connects to the database for configuration.,Global plugin,Kubernetes ConfigMap,SNI entity,Traditional mode,D,medium,false,
Computer - Kong,Which Kong concept best matches this description: Kong’s SaaS control plane for managing API Gateway control planes and data planes.,Global plugin,Data Plane,Konnect,Traditional mode,C,medium,false,
Computer - Kong,Which Kong concept best matches this description: a CLI tool for managing Kong Gateway declarative configuration as files.,decK,Docker Compose,Retries,Tags,A,medium,false,
Computer - Kong,Which Kong concept best matches this description: a Kubernetes controller that translates Kubernetes routing resources into Kong Gateway configuration.,Upstream,Service timeout,Route,Kong Ingress Controller,D,medium,false,
Computer - Kong,Which Kong concept best matches this description: a plugin scope that runs for requests routed to a specific Gateway Service.,Traditional mode,Service plugin scope,Rate Limiting plugin,Traefik EntryPoint,B,medium,false,
Computer - Kong,Which Kong concept best matches this description: a plugin scope that runs only for requests matching a specific Route.,Git branch,strip_path,Route plugin scope,CORS plugin,C,medium,false,
Computer - Kong,"Which Kong concept best matches this description: a plugin not scoped to a Service, Route, Consumer, or Consumer Group that applies broadly.",Service timeout,Traefik EntryPoint,Vault,Global plugin,D,medium,false,
Computer - Kong,Which Kong concept best matches this description: a way to group Consumers for policy or plugin behavior in supported Kong editions.,Consumer Group,Upstream,DB-less mode,Rate Limiting plugin,A,medium,false,
Computer - Kong,Which Kong concept best matches this description: a plugin that authenticates clients using API keys.,Consumer Group,decK,Key Authentication plugin,Global plugin,C,medium,false,
Computer - Kong,Which Kong concept best matches this description: a plugin that authenticates requests using HTTP Basic credentials.,Gateway Service,Basic Authentication plugin,Route,Traefik EntryPoint,B,medium,false,
Computer - Kong,Which Kong concept best matches this description: a plugin used for OIDC-based authentication and authorization flows.,Basic Authentication plugin,OpenID Connect plugin,Kong Gateway,Argo CD Application,B,medium,false,
Computer - Kong,Which Kong concept best matches this description: a traffic-control plugin that restricts request rates.,Hybrid mode,Circuit breaker,Global plugin,Rate Limiting plugin,D,medium,false,
Computer - Kong,Which Kong concept best matches this description: a plugin that restricts authenticated Consumers by allow or deny groups.,ACL plugin,Hybrid mode,Service timeout,Route,A,medium,false,
Computer - Kong,"Which Kong concept best matches this description: a plugin that can add, remove, or modify request headers, query strings, or bodies.",Request Transformer plugin,Consumer Group,Admin API,Plugin,A,medium,false,
Computer - Kong,Which Kong concept best matches this description: a plugin that adds Cross-Origin Resource Sharing behavior.,strip_path,Vault,CORS plugin,Service timeout,C,medium,false,
Computer - Kong,Which Kong concept best matches this description: routing traffic across multiple Targets in an Upstream.,SNI entity,Consumer Group,OpenID Connect plugin,Load balancing,D,medium,false,
Computer - Kong,Which Kong concept best matches this description: active or passive checks that help Kong avoid unhealthy upstream Targets.,Konnect,Health checks,Service timeout,Traditional mode,B,medium,false,
Computer - Kong,Which Kong concept best matches this description: a resilience pattern used with upstream health behavior to avoid sending traffic to unhealthy services.,Certificate entity,ACL plugin,Git branch,Circuit breaker,D,hard,false,
Computer - Kong,Which Kong concept best matches this description: metadata labels used to organize and filter Kong entities.,Target,Gateway Service,Tags,Data Plane,C,medium,false,
Computer - Kong,Which Kong concept best matches this description: an enterprise isolation boundary for Kong entities and configuration.,Route plugin scope,Workspace,Service timeout,Consumer,B,hard,false,
Computer - Kong,Which Kong concept best matches this description: a mechanism for referencing secrets stored in external secret managers.,Tags,Vault,Upstream,Gateway Service,B,hard,false,
Computer - Kong,Which Kong concept best matches this description: an entity storing TLS certificate and private key material for Kong Gateway.,Certificate entity,DB-less mode,Git branch,Konnect,A,medium,false,
