category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Computer - DevOps,"Which DevOps concept best matches this description: a cultural and technical approach that improves collaboration, delivery speed, reliability, and shared ownership.",GitOps,DevOps,Blue-green deployment,Metric,B,easy,false,
Computer - DevOps,Which DevOps concept best matches this description: the practice of frequently integrating code changes and validating them with automated builds and tests.,Continuous integration,Blue-green deployment,End-to-end test,Feature flag,A,easy,false,
Computer - DevOps,Which DevOps concept best matches this description: the practice of keeping software releasable through automated pipelines while deployment may still require approval.,Traefik EntryPoint,End-to-end test,Lead time for changes,Continuous delivery,D,medium,false,
Computer - DevOps,Which DevOps concept best matches this description: the practice of automatically deploying validated changes to production without manual release approval.,Unit test,Traefik EntryPoint,Linux inode,Continuous deployment,D,medium,false,
Computer - DevOps,"Which DevOps concept best matches this description: defining and deploying infrastructure through versioned, repeatable descriptive models.",Integration test,Infrastructure as Code,Artifact repository,Golden path,B,easy,false,https://learn.microsoft.com/en-us/devops/_img/infrastructureascode_600x300-3.png
Computer - DevOps,Which DevOps concept best matches this description: the property that applying the same operation repeatedly produces the same desired result.,SBOM,Traefik EntryPoint,Continuous delivery,Idempotence,D,medium,false,https://learn.microsoft.com/en-us/devops/_img/infrastructureascode_600x300-3.png
Computer - DevOps,Which DevOps concept best matches this description: the divergence of environments over time due to manual or inconsistent changes.,DAST,SAST,Service Level Objective,Configuration drift,D,medium,false,https://learn.microsoft.com/en-us/devops/_img/infrastructureascode_600x300-3.png
Computer - DevOps,Which DevOps concept best matches this description: storing build and release pipeline definitions in version-controlled files such as YAML.,Pipeline as code,End-to-end test,Argo CD Application,Log,A,medium,false,
Computer - DevOps,Which DevOps concept best matches this description: a system that stores build outputs and packages used by later pipeline stages.,Lead time for changes,Trace,Artifact repository,Canary deployment,C,medium,false,
Computer - DevOps,Which DevOps concept best matches this description: moving testing earlier in the development process to find issues sooner.,Rolling deployment,Platform engineering,Service Level Objective,Shift left testing,D,medium,false,
Computer - DevOps,Which DevOps concept best matches this description: a fast test focused on a small unit of code.,Unit test,Observability,Continuous integration,Lead time for changes,A,easy,false,
