category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Sports,What science did Aristotle define as ‘the knowledge of immaterial being’?,Psychology,Logic,Metaphysics,Philosophy,C,medium,false,
Sports,Which WWF group does this theme music belong to?,Nation of Domination,D-Generation X,Legion of Doom,Hart Foundation,B,medium,false,
Sports,"What position is former Major League Baseball player, Rollie Fingers famous for playing?",Catcher,First Base,Pitcher,Third Base,C,medium,false,
Sports,"What position is former baseball player for the Cincinnati Reds, Johnny Bench famous for playing?",Second Base,Shortstop,Catcher,Pitcher,C,medium,false,
Sports,"Baltimore Orioles, Cal Ripken Jr. is most known for playing what position?",Right Field,Catcher,Pitcher,Shortstop,D,medium,false,
Sports,"Steve Garvey is a famous former baseball player, who is known for playing what position?",First Base,Shortstop,Third Base,Catcher,A,medium,false,
Sports,"What position is former Major League Baseball player, Joe Morgan most known to have played?",Outfield,None of these,Second Base,Catcher,C,medium,false,
Sports,"What position is former professional baseball player, Mike Schmidt famous for playing?",Pitcher,Catcher,Third Base,Second Base,C,medium,false,
Sports,"Which of these positions is former baseball player, Dwight Evans most famous for?",Right Field,Pitcher,Second Base,Center Field,A,medium,false,
Sports,"Successful Major League Baseball player and coach, Donald Edward Don Gullett, was famous for playing what position?",Pitcher,Second Base,Right Field,Catcher,A,medium,false,
Sports,"Whitey Ford was a successful Major League Baseball player, who played in what position?",Pitcher,First Base,Catcher,Shortstop,A,medium,false,
Sports,"Carlton Fisk was a successful Major League Baseball player, who played for 24 years with the Boston Red Sox and Chicago White Sox, in what position?",Catcher,Pitcher,Left Field,None of the Above,A,medium,false,
Sports,"The Pittsburgh Steelers of the 50s had a third string quarterback from Louisville, who was not making it. They cut him and he landed with the Colts. Who was he?",Terry Bradshaw,Bert Jones Jr,Len Dawson,Johnny Unitas,D,medium,false,
Sports,Which was the first football team to win back to back Super Bowls with different coaches?,San Francisco,Dallas,Miami,Pittsburgh,A,medium,false,
Sports,How many points did Wilt Chamberlain score in his best game versus New York?,71,100,82,99,B,medium,false,
Sports,"He is the youngest NBA player to score 10,000 points.",Spud Webb,Kobe Bryant,Moses Malone,Michael Jordon,B,medium,false,
Sports,He is the shortest player ever to win the Slam Dunk Contest.,Kobe Bryant,Spud Webb,Vince Carter,Tracy McGrady,B,medium,false,
Sports,He retired with the NBAs highest scoring average (30.1 points per game).,Jarmaine ONeal,Shaquille ONeal,Dwyane Wade,Michael Jordan,D,medium,false,
Sports,Karl Malone received the award Most Valuable Player in 1996-97. What team did he play for?,Sacramento Kings,Miami Heat,LA Lakers,Utah Jazz,D,medium,false,
Sports,He is the NBAs All-Time scorer.,Kareem Abdul-Jabbar,Ken Johnson,Clyde Lovelette,Michael Jordan,A,medium,false,
Sports,Wilt Chamberlain is a great player indeed. In a game against the Celtics he made the best rebounding effort ever. How many rebounds did he make in this famous game?,16,57,55,31,C,medium,false,
Sports,"Who is the first player to top 20,000 points in NBA?",Bob Pettit,Spud Webb,Clyde Drexler,Wilt Chamberlain,A,medium,false,
Sports,George Muresan and Manute Bol are the tallest players in NBA history. How tall are they?,77 (2.31m),72 (2.18m),78 (2.33m),74 (2.23m),A,medium,false,
Sports,Who is the shortest player in the history of NBA?,Tyronne Bogues,Spud Webb,Larry Bird,Eddie Griffin,A,medium,false,
Sports,"He was a player, coach, and owner  -all for one team. He was also instrumental in developing the NFL.",Wellington Mara,George Halas,Red Grange,Pete Rozelle,B,medium,false,
Sports,This college and pro great had a very strange nickname -Crazy Legs.   His last name was Hirsch.  What was his real first name ?,Lester,Arnie,Cliff,Elroy,D,medium,false,
Sports,"Compton Junior College gave us this all-time great runner, who played fullback and was nicknamed Joe the Jet.",Battles,Neale,Sanders,Perry,D,medium,false,
Sports,"His real name is Yelverton Abraham, and he played for San Francisco as well as the NY Giants. He attended LSU.",Motley,Strong,Groza,Tittle,D,medium,false,
Sports,This great sportsman was the first football player to be all-pro at defensive back one year and running back another.,Grange,Thorpe,Gifford,Haynes,C,medium,false,
Sports,"This quarterback was cut by the Steelers and picked up by another team, played in high tops, and his teammates include Lenny Moore and Steve Myhra.",Terry Bradshaw,Johnny Unitas,John Brodie,Norm Van Brocklin,B,medium,false,
Sports,This great defensive end came from South Carolina State and played for the Rams. He is credited with inventing the head slap move.,Lamar Lundy,David Jones,Merlin  Olsen,Rosy Grier,B,medium,false,
Sports,"This great running back was once traded for eleven players.  He had great speed and great moves, returned kicks, caught passes, and ran the ball.",Barry Sanders,Ollie Matson,Dick Lane,Marcus Allen,B,medium,false,
Sports,This great football player is known for catching the immaculate reception .,O.J. Simpson,Lynn Swann,John Stallworth,Franco Harris,D,medium,false,
Sports,"Many of the greatest coaches, both pro and college, trace their learning to Miami University of Ohio and the teachings of this coaching great, who led Cleveland to many championships.",Woody  Hayes,Weeb Ewbank,Paul Brown,Don Shula,C,medium,false,
Sports,When did Miami Heat enter the NBA?,1988,1974,1963,1958,A,medium,false,
Sports,How many teams does the Atlantic Division of the Eastern Conference have?,7,4,10,5,D,medium,false,
Sports,Larry Brown led this team from 1997 to 2003.,Chicago Bulls,LA Lakers,Denver Nuggets,Philadephia 76ers,D,medium,false,
Sports,"Mark Price, Larry Nance, Brad Daugerty, Shawn Kemp and Austin Carr have been chosen to be this teams all-time starting five.",Cleveland Cavaliers,Philadelphia 76ers,Denver Nuggets,Houston Rockets,A,medium,false,
Sports,This team is one of the five playing in the Southwest Division of the Western Conference. Tracy McGrady (as of 2005)  plays for this team.,Houston Rockets,Minnesota Timberwolves,Utah Jazz,San Antonio Spurs,A,medium,false,
Sports,Arguably the most famous NBA team. Michael Jordan played for this team.,Miami Heat,Utah Jazz,Sacramento Kings,Chicago Bulls,D,medium,false,
Sports,Which division do the Sacramento Kings play in?,Southwest Division of the Western Conference,Atlantic Division of the Eastern Conference,Pacific Division of the Western Conference,Central Division of the Eastern Conference,C,medium,false,
Sports,This team drafted and then exchanged for another player Chris Webber in 1993.,Orlando Magic,Sacramento Kings,Golden State Warriors,Miami Heat,A,medium,false,
Sports,"This team won its first division title in the 1969-70 season, when Spencer Heywood signed with the club.",Philadelphia 76ers,Detroit Pistons,Chicago Bulls,Denver Nuggets,D,medium,false,
Sports,This team moved to Detroit in 1957. It was founded by Fred Zollner in 1940.,Knicks,Warriors,Pistons,Lakers,C,medium,false,
Sports,"Which of these people founded the World Wrestling Entertainment, Inc?",Hulk Hogan,Shane McHamon,Vincent McMahon,Ric Flair,C,medium,false,
Sports,Professional wrestler Ric Flair was once manager of the WWEs RAW brand.,True,False,,,B,medium,false,
Sports,"In professional wrestling, the high side thrust kick, often used by Shawn Michaels as a finishing move, is also known by what name?",Leg Drop,Sweet Chin Music,Batista Bomb,5 Star,B,medium,false,
Sports,RAW wrestling star Kurt Angle was shaved on stage after a match with Edge in 2002.,True,False,,,A,medium,false,
Sports,Has wrestler Bret Hart been inducted in the WWE Hall of Fame?,Yes,No,,,A,medium,false,
Sports,What number did Hank Aaron wear for the Atlanta Braves?,26,44,7,15,B,medium,false,
Sports,"In Major League Baseball, first and second bases are this far apart.",85,95,90,93,C,medium,false,
Sports,How many home runs did Hank Aaron hit in his career?,609,625,750,755,D,medium,false,
Sports,"How many innings are in a Little League baseball game, excluding extra innings?",6,5,8,7,A,medium,false,
Sports,How many games are in a Major League Baseball season per team?,155,162,160,170,B,medium,false,
Sports,For what team did Tony Dorsett play after he left the Cowboys?,Houston Oilers,Minnesota Vikings,Pittsburgh Steelers,Denver Broncos,D,medium,false,
Sports,In what year did Roger Staubach win the Heisman Trophy?,1963,1962,1965,1964,A,medium,false,
Sports,The Cowboys had the first selection in the 1974 draft. Who did they take?,Tony Dorsett,Thomas Henderson,Ed Too Tall  Jones,Randy White,C,medium,false,
Sports,"Troy Aikman graduated from UCLA, but where did he begin his college career?",Miami,Stanford,Oklahoma,Texas,C,medium,false,
Sports,Which of these players won the Super Bowl MVP despite his teams loss?,Roger Staubach,Harvey Martin,Randy White,Chuck Howley,D,medium,false,
Sports,The Cowboys were originally called the Dallas Texans.,True,False,,,B,medium,false,
Sports,Which of these Cowboys won the Super Bowl XII MVP trophy?,Harvey Martin,Tony Dorsett,Duane Thomas,Michael Irvin,A,medium,false,
Sports,"Chicago Bulls drafted this player in 1984, who is probably the best in the NBA ever. He played his final game on April 16, 2003.",Shaquille ONeal,Magic Johnson,Kevin Garnett,Michael Jordan,D,medium,false,
Sports,He was selected by the Phoenix Suns in the first round (15th pick overall) of the 1996 NBA Draft.  In 2005 he was awarded MVP (most valuable player).,Carmelo Anthony,Karl Malone,Kobe Bryant,Steve Nash,D,medium,false,
Sports,Rashard Lewis was the 3rd pick in 1998.,False,True,,,A,medium,false,
Sports,"He was drafted in 2002 by Phoenix Suns, right after Nikoloz Tskitishvili , Dajuan Wagner, Nene, and Chris Wilcox.",Shawn Kemp,LeBron James,Jason Kidd,Amare Stoudemire,D,medium,false,
Sports,This player was drafted in 1962 by the Celtics. He is also known as Hondo.,Maurice Cheeks,Jonh Havlicek,Peja Sojakovich,Sam Jones,B,medium,false,
Sports,In 1986 Detroit Pistons had great luck- they made two good draft picks. One of them was John Salley and the other was the 27th selected player.,LeBron James,Vlade Divac,Dennis Rodman,Chris Webber,C,medium,false,
Sports,"Although this player was the 36th selected player drafted by the Philadelphia 76ers in 1978, he turned out to be the best point guard drafted that year.",Jerome James,Maurice Cheeks,Butch Lee,Butch Lee,B,medium,false,
Sports,"Although he wasnt the best player on his college team, he became an All-Star player in his fifth season. Detroit Pistons drafted him in 1971.",Roko Ukic,Curtis Rowe,Ben Gordon,Jackson Vroman,B,medium,false,
Sports,This player was the 31st selected in 2001 draft by the Golden State Warriors.  He and Jamison was chossen to represent the Washington Wizards at the 2005 NBA All-Star Game.,Carmelo Anthony,Ben Gordon,Vlade Divac,Gilbert Arenas,D,medium,false,
Sports,This European player was drafted in 2001 by the San Antonio Spurs. He became the youngest player ever to appear in a game with the Spurs making his NBA debut at 19 years old.,Tony Parker,Vlade Divac,Peja Stojakovic,Raul Lopez,A,medium,false,
Sports,"Before they were the Detroit Pistons, the Pistons played in this city.","Gary, Indiana","Louisville, Kentucky","Ft. Wayne, Indiana","Cincinnati, Ohio",C,medium,false,
Sports,"Before they were the L.A. Lakers, they played in this city.",Denver,Milwaukee,Minneapolis,Cincinnati,C,medium,false,
Sports,"Where were the NBA Hawks located, before moving to Atlanta?","Rochester, NY","Syracuse, NY","Cincinnati, OH","St. Louis,MO",D,medium,false,
Sports,These are the only two original NBA teams that never  moved.,Warriors and Bulls,Bulls and Celtics,Knicks and Celtics,Warriors and Knicks,C,medium,false,
Sports,Where did the Atlanta Braves team originate?,Boston,They were always in Atlanta,Sacramento,Milwaukee,A,medium,false,
Sports,Where were the Dodgers playing before they moved to L.A.?,"Newark, NJ","Sacramento, CA","Brooklyn, NY","Washington, DC",C,medium,false,
Sports,What was the original home to the NFL Rams?,"Cincinnati, OH","Canton, OH","L.A., CA","Cleveland, OH",D,medium,false,
Sports,Where did the Philadelphia Eagles use to play?,"Rochest, NY",Pittsburgh and Philadelphia,"Cincinnati, OH","Canton, OH",B,medium,false,
Sports,To which city do the Sacramento Kings trace their origins?,"Washington, DC","Pittsburgh, PA","Louisville, KY","Rochester, NY",D,medium,false,
Sports,Where did the San Francisco Giants play before San Francisco?,"Washington, DC","Buffalo, NY","Atlanta, GA","New York, NY",D,medium,false,
Sports,This team won the 1994 NCAA Division I-A national football championship. The motto of the team is: Not the victory but the action. Not the goal but the game. In the deed the glory.,Nebraska,Oklahoma,Ohio State,Florida St,A,medium,false,
Sports,In 1927 this Ivy League team won the NCAA Division I-A national football championship.,Harvard,Army,Princeton,Yale,D,medium,false,
Sports,"In 1958, this team shared their first title from NCAA Division I-A national football championship with Iowa.",LSU,Army,BYU,Florida,A,medium,false,
Sports,"This team won the 2005 NCAA Football Championship, lead by head coach Mack Brown",Notre Dame,Texas,LSU,USC,B,medium,false,
Sports,"This team, with head coach Tom Osborne, won the most NCAA football Championships in the 1990s.",Tennessee,Nebraska,Florida,Florida State,B,medium,false,
Sports,"According to Dickinson poll, in 1928 this football team, coached by Howard Jones, won its first national title.",LSU,USC,BYU,Yale,B,medium,false,
Sports,"This team, nicknamed The Hurricanes, won three NCAA Football Titles in the 1980s.",Miami,Oklahoma,Penn State,Notre Dame,A,medium,false,
Sports,"In what year did Notre Dame and their head coach Knute Rockne, win their first NCAA football Championship?",1987,1980,1938,1924,D,medium,false,
Sports,"This team, led by head coach James Tressel,  won the 2002 NCAA championship, beating Miami in overtime.",USC,Ohio State,LSU,Miami,B,medium,false,
Sports,The athletic teams of St. John’s University were called the Redmen in the 1920s.,False,True,,,B,medium,false,
Sports,Which is the nickname of North Carolina and of the University of North Carolina at Chapel Hill?,Hoyas,Buckeyes,Tar Heels,Bruins,C,medium,false,
Sports,Which American university has chosen the spider as its official mascot?,University of Richmond,Boston College,University of Rhode Island,Valipariaso,A,medium,false,
Sports,The nickname for the University of Washington is the Huskies.,False,True,,,B,medium,false,
Sports,The Eagles athletic teams represent which college/university?,Boston College,University of Arizona,University of Philadelphia,Yale,A,medium,false,
Sports,What is the nickname of the University of Tennessees teams?,Hokies,Terrapins,Crimsom Tide,Volunteers,D,medium,false,
Sports,The Boilermakers is the nickname of which American university?,University of Michigan,Indiana State University,Northwestern University,Purdue University,D,medium,false,
Sports,In 1933 this team won the first NFL Championship Game.,New York Giants,Chicago Bears,Canton Bulldogs,Washington Redskins,B,medium,false,
Sports,Which team won the 1940 National Football League Championship Game with 73-0?,New York Giants,Oakland Raiders,Washington Redskins,Chicago Bears,D,medium,false,
Sports,Which of these teams won their first Super Bowl in 2005?,Atlanta,None of these,Seattle,Cincinnati,B,medium,false,
Sports,Which championship game was called The Greatest Game Ever Played and was the first  championship game to go into overtime?,The 1983 Championship Game,The 1974 Championship Game,The 1990 Championship Game,The 1958 Championship Game,D,medium,false,
Sports,In the 1967 NFL Championship Game Green Bay beat Dallas 21-17. Which nickname is attached to this game?,The Long Fourth-Quarter Game,The Ice Bowl,The One -Quarter Game,The First Super Bowl,B,medium,false,
Sports,Which NFL team won their 12th Championship in 1997?,Green Bay Packers,New England Patriots,Chicago Bears,Cleveland Bowns,A,medium,false,
Sports,Which of these teams was defeated at the Super Bowl XXXIII game by the Denver Broncos?,Atlanta Falcons,Providence Steam Roller,Frankford Yellow Jackets,Tennessee Titans,A,medium,false,
Sports,Which team won Super Bowl VII and Super Bowl VIII?,Pittsburgh Steelers,San Francisco 49ERs,Miami Dolphins,Dallas Cowboys,C,medium,false,
Sports,This player from Alabama University was the Championship MVP in 1968.,Paul Horning,Darryl LaMonica,Bart Starr,Max McGee,C,medium,false,
Sports,Which of these players have never won the Super Bowl MVP?,Richard Dent,Jake Scott,Dan Marino,Chuck Howley,C,medium,false,
Sports,The Ultimate Warrior and Rick Rude competed for the Intercontinental Title in which SummerSlam?,1989,1990,1988,1991,A,medium,false,
Sports,"The Honky Tonk man lost the Intercontinental Title to Ultimate Warrior at the first SummerSlam in 1988, but who was Honky originally to defend his title against?",Don Murracco,Jake Roberts,Brutus Beefcake,Jim Duggan,C,medium,false,
Sports,"Bret Hart wrestled in every SummerSlam that he could, while a WWF SuperStar.  From 1988-1997 he missed only one SummerSlam.  What year?",1989,1990,1996,1988,C,medium,false,
Sports,How Many Times has Randy Savage been the Macho King at SummerSlam?,2,1,0,3,B,medium,false,
Sports,Hulk Hogan has won a title at SummerSlam.,False,True,,,A,medium,false,
Sports,The Largest in terms of attendance SummerSlam took Place in what year?,2001,2002,1994,1992,D,medium,false,
Sports,"In the SmackDown! US title match from the 2003 edition of SummerSlam, who walked out the US Champion?",Tajiri,Chris Benoit,Eddie Guerrero,Rhyno,C,medium,false,
Sports,The first steel cage match at SummerSlam was between which two competitors?,Diesel/Mabel,Bret Hart/Owen Hart,Ultimate Warrior/Rick Rude,Mankind/Hunter Hearst Helmsley,C,medium,false,
Sports,"How many times has SummerSlam been in New York City, at Madison Square Garden?",1,At least 3,2,0,B,medium,false,
