category_name,question_text,option_a,option_b,option_c,option_d,correct_answer,complexity,disabled,image_url
Python,Which statement is correct for Python development practice?,PEP 8 recommends 4 spaces per indentation level.,PEP 8 requires class names to be written in all lowercase.,pytest tests cannot use plain assert statements.,Type hints are required for every Python function at runtime.,A,easy,false,
Python,"What is the value of the Python expression `tuple([1, 2, 3])`?","(1, 2)","[1, 2, 3]","(1, 2, 3)","(3, 2, 1)",C,easy,false,
Python,Which concept describes Python running source code using an interpreter rather than requiring a separate manual compile step for typical scripts?,Interpreted execution,Static linking,Pointer arithmetic,Manual memory allocation,A,easy,false,
Python,"What is the value of the Python expression `list(zip([1, 2], ['a', 'b', 'c']))`?","[(1, 'a'), (2, 'b')]","((1, 'a'), (2, 'b'))","[(2, 'b'), (1, 'a')]","[(1, 'a')]",A,medium,false,
Python,"What is the value of the Python expression `list(enumerate(['a', 'b'], start=1))`?","[(1, 'a')]","[(1, 'a'), (2, 'b')]","((1, 'a'), (2, 'b'))","[(2, 'b'), (1, 'a')]",B,medium,false,
Python,"After `a = [1, 2]; b = a; b.append(3)`, what is the value of `a`?","[1, 2, 3]",None,"[1, 2]",[3],A,medium,false,
Python,"After `a = [1, 2]; b = a.copy(); b.append(3)`, what is the value of `a`?","[1, 2]",None,"[1, 2, 3]",[3],A,medium,false,
Python,What is the value of the Python expression `bool([0])`?,True,0,None,False,A,easy,false,
Python,What is the value of the Python expression `bool('')`?,None,False,True,0,B,easy,false,
Python,What is the value of the Python expression `bool([])`?,True,None,False,0,C,easy,false,
Python,What is the value of the Python expression `bool('0')`?,False,None,True,0,C,easy,false,
Python,Which concept helps avoid duplicating code by placing repeated logic into one callable block?,Identity comparison,String interning,Path normalization,Function decomposition,D,medium,false,
Python,Which statement is correct in Python?,A function without an explicit return statement raises ValueError.,Default argument values are evaluated each time a function is called.,Default argument values are evaluated when the function is defined.,List comprehensions always return generator objects.,C,hard,false,
Python,What is the value of the Python expression `(lambda x: x * 2)(5)`?,20,10,11,9,B,medium,false,
Python,"What is the value of the Python expression `(lambda a, b=3: a + b)(4)`?",7,8,14,6,A,medium,false,
Python,Which feature lets Python code be divided into reusable named blocks?,Literals,Comments,Functions,Whitespace only,C,easy,false,
Python,"What is the value of the Python expression `sorted({1, 2, 3} & {2, 3, 4})`?","[3, 2]","[2, 3]","(2, 3)",[2],B,medium,false,
Python,"What is the value of the Python expression `sorted({1, 2, 3} | {3, 4})`?","(1, 2, 3, 4)","[4, 3, 2, 1]","[1, 2, 3, 4]","[1, 2, 3]",C,medium,false,
Python,"What is the value of the Python expression `{1, 2}.issubset({1, 2, 3})`?",None,True,0,False,B,medium,false,
Python,"What is the value of the Python expression `sorted({1, 2, 3} - {2})`?",[1],"[3, 1]","(1, 3)","[1, 3]",D,medium,false,
Python,"After `s = {1, 2}; s.add(2)`, what is the length of `s`?",None,3,2,1,C,easy,false,
Python,"After `d = {'a': 1}; d['b'] = 2`, what is the value associated with key `'b'`?",'b',1,2,None,C,easy,false,
Python,"What is the value of the Python expression `{'a': 1, 'b': 2}.get('c', 0)`?",-1,0,1,None,B,medium,false,
Python,"What is the value of the Python expression `sorted({'b': 2, 'a': 1}.values())`?","(1, 2)",[1],"[2, 1]","[1, 2]",D,medium,false,
Python,"What is the value of the Python expression `sorted({'b': 2, 'a': 1}.keys())`?","['b', 'a']","['a', 'b']","('a', 'b')",['a'],B,medium,false,
Python,"After `d = {'a': 1}; value = d.get('b', 0)`, what is the value of `value`?",None,KeyError,1,0,D,easy,false,
Python,"What is the value of the Python expression `{'a': 1, 'b': 2}['a']`?",1,2,None,0,A,easy,false,
Python,What is the value of the Python expression `list(range(3))`?,"[2, 1, 0]","[0, 1, 2]","[0, 1]","(0, 1, 2)",B,easy,false,
Python,What is the value of the Python expression `list(range(9))`?,"(0, 1, 2, 3, 4, 5, 6, 7, 8)","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7]",C,easy,false,
Python,What is the value of the Python expression `list(range(8))`?,"[0, 1, 2, 3, 4, 5, 6, 7]","(0, 1, 2, 3, 4, 5, 6, 7)","[0, 1, 2, 3, 4, 5, 6]","[7, 6, 5, 4, 3, 2, 1, 0]",A,easy,false,
Python,What is the value of the Python expression `list(range(5))`?,"[0, 1, 2, 3]","[0, 1, 2, 3, 4]","[4, 3, 2, 1, 0]","(0, 1, 2, 3, 4)",B,easy,false,
Python,"What is the value of the Python expression `list(range(1, 11, 2))`?","[1, 3, 5, 7]","[1, 3, 5, 7, 9]","[9, 7, 5, 3, 1]","(1, 3, 5, 7, 9)",B,medium,false,
Python,What is the value of the Python expression `list(range(10))`?,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",C,easy,false,
Python,Which dict method is used to merge key-value pairs from another mapping or iterable?,pop(),update(),keys(),items(),B,easy,false,
Python,"For Python dict objects, what does get() do?",Remove and return the most recently inserted key-value pair.,Return a value for a key with an optional default.,Merge key-value pairs from another mapping or iterable.,Remove all key-value pairs.,B,easy,false,
Python,Which dict method is used to remove all key-value pairs?,popitem(),clear(),fromkeys(),values(),B,easy,false,
Python,"Which dict method is used to return a value for a key, inserting a default if the key is missing?",copy(),values(),setdefault(),clear(),C,hard,false,
Python,"For Python dict objects, what does update() do?",Create a new dictionary from keys and one shared value.,Return a dynamic view of dictionary keys.,Remove and return the most recently inserted key-value pair.,Merge key-value pairs from another mapping or iterable.,D,easy,false,
